index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,-0.8,2.366e-09,yes
2,-0.799,2.312e-09,no
3,-0.798,2.26e-09,no
4,-0.797,2.209e-09,no
5,-0.796,2.159e-09,no
6,-0.795,2.111e-09,no
7,-0.794,2.063e-09,no
8,-0.793,2.017e-09,no
9,-0.792,1.972e-09,no
10,-0.791,1.928e-09,no
11,-0.79,1.884e-09,no
12,-0.789,1.842e-09,no
13,-0.788,1.801e-09,no
14,-0.787,1.761e-09,no
15,-0.786,1.722e-09,no
16,-0.785,1.684e-09,no
17,-0.784,1.646e-09,no
18,-0.783,1.61e-09,no
19,-0.782,1.574e-09,no
20,-0.781,1.539e-09,no
21,-0.78,1.505e-09,no
22,-0.779,1.472e-09,no
23,-0.778,1.44e-09,no
24,-0.777,1.408e-09,no
25,-0.776,1.377e-09,no
26,-0.775,1.347e-09,no
27,-0.774,1.317e-09,no
28,-0.773,1.288e-09,no
29,-0.772,1.26e-09,no
30,-0.771,1.232e-09,no
31,-0.77,1.205e-09,no
32,-0.769,1.179e-09,no
33,-0.768,1.153e-09,no
34,-0.767,1.128e-09,no
35,-0.766,1.103e-09,no
36,-0.765,1.079e-09,no
37,-0.764,1.056e-09,no
38,-0.763,1.033e-09,no
39,-0.762,1.01e-09,no
40,-0.761,9.884e-10,no
41,-0.76,9.669e-10,no
42,-0.759,9.459e-10,no
43,-0.758,9.254e-10,no
44,-0.757,9.054e-10,no
45,-0.756,8.858e-10,no
46,-0.755,8.666e-10,no
47,-0.754,8.478e-10,no
48,-0.753,8.295e-10,no
49,-0.752,8.116e-10,no
50,-0.751,7.941e-10,no
51,-0.75,7.769e-10,no
52,-0.749,7.602e-10,no
53,-0.748,7.438e-10,no
54,-0.747,7.278e-10,no
55,-0.746,7.121e-10,no
56,-0.745,6.968e-10,no
57,-0.744,6.818e-10,no
58,-0.743,6.671e-10,no
59,-0.742,6.528e-10,no
60,-0.741,6.388e-10,no
61,-0.74,6.25e-10,no
62,-0.739,6.116e-10,no
63,-0.738,5.985e-10,no
64,-0.737,5.857e-10,no
65,-0.736,5.731e-10,no
66,-0.735,5.608e-10,no
67,-0.734,5.488e-10,no
68,-0.733,5.371e-10,no
69,-0.732,5.256e-10,no
70,-0.731,5.143e-10,no
71,-0.73,5.033e-10,no
72,-0.729,4.926e-10,no
73,-0.728,4.82e-10,no
74,-0.727,4.717e-10,no
75,-0.726,4.617e-10,no
76,-0.725,4.518e-10,no
77,-0.724,4.421e-10,no
78,-0.723,4.327e-10,no
79,-0.722,4.235e-10,no
80,-0.721,4.144e-10,no
81,-0.72,4.056e-10,no
82,-0.719,3.969e-10,no
83,-0.718,3.885e-10,no
84,-0.717,3.802e-10,no
85,-0.716,3.721e-10,no
86,-0.715,3.642e-10,no
87,-0.714,3.564e-10,no
88,-0.713,3.488e-10,no
89,-0.712,3.414e-10,no
90,-0.711,3.341e-10,no
91,-0.71,3.27e-10,no
92,-0.709,3.2e-10,no
93,-0.708,3.132e-10,no
94,-0.707,3.065e-10,no
95,-0.706,3e-10,no
96,-0.705,2.936e-10,no
97,-0.704,2.874e-10,no
98,-0.703,2.812e-10,no
99,-0.702,2.753e-10,no
100,-0.701,2.694e-10,no
101,-0.7,2.637e-10,no
102,-0.699,2.58e-10,no
103,-0.698,2.525e-10,no
104,-0.697,2.472e-10,no
105,-0.696,2.419e-10,no
106,-0.695,2.368e-10,no
107,-0.694,2.317e-10,no
108,-0.693,2.268e-10,no
109,-0.692,2.219e-10,no
110,-0.691,2.172e-10,no
111,-0.69,2.126e-10,no
112,-0.689,2.081e-10,no
113,-0.688,2.036e-10,no
114,-0.687,1.993e-10,no
115,-0.686,1.95e-10,no
116,-0.685,1.909e-10,no
117,-0.684,1.868e-10,no
118,-0.683,1.828e-10,no
119,-0.682,1.789e-10,no
120,-0.681,1.751e-10,no
121,-0.68,1.714e-10,no
122,-0.679,1.677e-10,no
123,-0.678,1.641e-10,no
124,-0.677,1.606e-10,no
125,-0.676,1.572e-10,no
126,-0.675,1.539e-10,no
127,-0.674,1.506e-10,no
128,-0.673,1.473e-10,no
129,-0.672,1.442e-10,no
130,-0.671,1.411e-10,no
131,-0.67,1.381e-10,no
132,-0.669,1.351e-10,no
133,-0.668,1.323e-10,no
134,-0.667,1.294e-10,no
135,-0.666,1.267e-10,no
136,-0.665,1.239e-10,no
137,-0.664,1.213e-10,no
138,-0.663,1.187e-10,no
139,-0.662,1.161e-10,no
140,-0.661,1.136e-10,no
141,-0.66,1.112e-10,no
142,-0.659,1.088e-10,no
143,-0.658,1.065e-10,no
144,-0.657,1.042e-10,no
145,-0.656,1.02e-10,no
146,-0.655,9.977e-11,no
147,-0.654,9.763e-11,no
148,-0.653,9.553e-11,no
149,-0.652,9.347e-11,no
150,-0.651,9.146e-11,no
151,-0.65,8.949e-11,no
152,-0.649,8.756e-11,no
153,-0.648,8.567e-11,no
154,-0.647,8.383e-11,no
155,-0.646,8.202e-11,no
156,-0.645,8.025e-11,no
157,-0.644,7.851e-11,no
158,-0.643,7.682e-11,no
159,-0.642,7.516e-11,no
160,-0.641,7.353e-11,no
161,-0.64,7.194e-11,no
162,-0.639,7.038e-11,no
163,-0.638,6.886e-11,no
164,-0.637,6.737e-11,no
165,-0.636,6.591e-11,no
166,-0.635,6.448e-11,no
167,-0.634,6.308e-11,no
168,-0.633,6.171e-11,no
169,-0.632,6.037e-11,no
170,-0.631,5.905e-11,no
171,-0.63,5.777e-11,no
172,-0.629,5.651e-11,no
173,-0.628,5.528e-11,no
174,-0.627,5.407e-11,no
175,-0.626,5.29e-11,no
176,-0.625,5.174e-11,no
177,-0.624,5.061e-11,no
178,-0.623,4.951e-11,no
179,-0.622,4.842e-11,no
180,-0.621,4.736e-11,no
181,-0.62,4.633e-11,no
182,-0.619,4.531e-11,no
183,-0.618,4.432e-11,no
184,-0.617,4.335e-11,no
185,-0.616,4.239e-11,no
186,-0.615,4.146e-11,no
187,-0.614,4.055e-11,no
188,-0.613,3.966e-11,no
189,-0.612,3.879e-11,no
190,-0.611,3.793e-11,no
191,-0.61,3.71e-11,no
192,-0.609,3.628e-11,no
193,-0.608,3.548e-11,no
194,-0.607,3.469e-11,no
195,-0.606,3.393e-11,no
196,-0.605,3.318e-11,no
197,-0.604,3.244e-11,no
198,-0.603,3.172e-11,no
199,-0.602,3.102e-11,no
200,-0.601,3.033e-11,no
201,-0.6,2.966e-11,no
202,-0.599,2.9e-11,no
203,-0.598,2.835e-11,no
204,-0.597,2.772e-11,no
205,-0.596,2.71e-11,no
206,-0.595,2.65e-11,no
207,-0.594,2.591e-11,no
208,-0.593,2.533e-11,no
209,-0.592,2.476e-11,no
210,-0.591,2.421e-11,no
211,-0.59,2.367e-11,no
212,-0.589,2.314e-11,no
213,-0.588,2.262e-11,no
214,-0.587,2.211e-11,no
215,-0.586,2.161e-11,no
216,-0.585,2.113e-11,no
217,-0.584,2.065e-11,no
218,-0.583,2.019e-11,no
219,-0.582,1.973e-11,no
220,-0.581,1.929e-11,no
221,-0.58,1.885e-11,no
222,-0.579,1.842e-11,no
223,-0.578,1.801e-11,no
224,-0.577,1.76e-11,no
225,-0.576,1.72e-11,no
226,-0.575,1.681e-11,no
227,-0.574,1.643e-11,no
228,-0.573,1.605e-11,no
229,-0.572,1.569e-11,no
230,-0.571,1.533e-11,no
