index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,-0.9,1.154,no
2,-0.9011458298,1.184,no
3,-0.9022785303,1.215,no
4,-0.903398252,1.246,no
5,-0.9045051436,1.277,no
6,-0.9055993521,1.309,no
7,-0.9066810228,1.342,no
8,-0.9077502995,1.375,no
9,-0.908807324,1.409,no
10,-0.9098522369,1.444,no
11,-0.9108851768,1.479,no
12,-0.911906281,1.514,no
13,-0.912915685,1.551,no
14,-0.913913523,1.588,no
15,-0.9148999275,1.625,no
16,-0.9158750295,1.663,no
17,-0.9168389585,1.702,no
18,-0.9177918424,1.742,no
19,-0.918733808,1.782,no
20,-0.9196649802,1.823,no
21,-0.9205854828,1.864,no
22,-0.921495438,1.906,no
23,-0.9223949666,1.949,no
24,-0.9232841882,1.993,no
25,-0.9241632209,2.037,no
26,-0.9250321813,2.082,no
27,-0.9258911848,2.128,no
28,-0.9267403457,2.175,no
29,-0.9275797767,2.222,no
30,-0.9284095891,2.27,no
31,-0.9292298934,2.319,no
32,-0.9300407983,2.368,no
33,-0.9308424117,2.418,no
34,-0.93163484,2.469,no
35,-0.9324181883,2.521,no
36,-0.9331925608,2.574,no
37,-0.9339580604,2.627,no
38,-0.9347147886,2.681,no
39,-0.935462846,2.736,no
40,-0.9362023319,2.792,no
41,-0.9369333446,2.849,no
42,-0.9376559811,2.907,no
43,-0.9383703374,2.965,no
44,-0.9390765085,3.024,no
45,-0.939774588,3.085,no
46,-0.9404646687,3.146,no
47,-0.9411468422,3.208,no
48,-0.9418211993,3.27,no
49,-0.9424878293,3.334,no
50,-0.9431468209,3.399,no
51,-0.9437982615,3.464,no
52,-0.9444422378,3.531,no
53,-0.9450788352,3.598,no
54,-0.9457081382,3.667,no
55,-0.9463302305,3.736,no
56,-0.9469451947,3.807,no
57,-0.9475531125,3.878,no
58,-0.9481540646,3.951,no
59,-0.9487481307,4.024,no
60,-0.9493353899,4.098,no
61,-0.9499159201,4.174,no
62,-0.9504897984,4.25,no
63,-0.951057101,4.328,no
64,-0.9516179034,4.407,no
65,-0.9521722798,4.486,no
66,-0.9527203041,4.567,no
67,-0.9532620489,4.649,no
68,-0.9537975863,4.732,no
69,-0.9543269873,4.816,no
70,-0.9548503223,4.902,no
71,-0.9553676607,4.988,no
72,-0.9558790714,5.076,no
73,-0.9563846221,5.164,no
74,-0.9568843801,5.254,no
75,-0.9573784117,5.346,no
76,-0.9578667826,5.438,no
77,-0.9583495575,5.532,no
78,-0.9588268007,5.626,no
79,-0.9592985755,5.723,no
80,-0.9597649445,5.82,no
81,-0.9602259698,5.919,no
82,-0.9606817124,6.018,no
83,-0.9611322331,6.12,no
84,-0.9615775915,6.222,no
85,-0.9620178469,6.326,no
86,-0.9624530578,6.431,no
87,-0.9628832818,6.538,no
88,-0.9633085762,6.646,no
89,-0.9637289975,6.755,no
90,-0.9641446014,6.866,no
91,-0.9645554433,6.978,no
92,-0.9649615775,7.092,no
93,-0.9653630582,7.207,no
94,-0.9657599386,7.324,no
95,-0.9661522714,7.442,no
96,-0.9665401088,7.561,no
97,-0.9669235022,7.682,no
98,-0.9673025026,7.805,no
99,-0.9676771602,7.929,no
100,-0.9680475249,8.055,no
101,-0.9684136459,8.182,no
102,-0.9687755718,8.311,no
103,-0.9691333506,8.442,no
104,-0.9694870298,8.574,no
105,-0.9698366565,8.708,no
106,-0.9701822771,8.843,no
107,-0.9705239374,8.981,no
108,-0.970861683,9.12,no
109,-0.9711955585,9.26,no
110,-0.9715256083,9.403,no
111,-0.9718518764,9.547,no
112,-0.972174406,9.693,no
113,-0.9724932399,9.841,no
114,-0.9728084206,9.99,no
115,-0.9731199898,10.14,no
116,-0.9734279889,10.29,no
117,-0.973732459,10.45,no
118,-0.9740334403,10.61,no
119,-0.9743309728,10.77,no
120,-0.9746250962,10.93,no
121,-0.9749158494,11.09,no
122,-0.9752032711,11.26,no
123,-0.9754873994,11.42,no
124,-0.9757682721,11.59,no
125,-0.9760459264,11.76,no
126,-0.9763203993,11.94,no
127,-0.9765917272,12.11,no
128,-0.9768599462,12.29,no
129,-0.9771250918,12.47,no
130,-0.9773871993,12.65,no
131,-0.9776463035,12.83,no
132,-0.9779024389,13.02,no
133,-0.9781556393,13.21,no
134,-0.9784059385,13.4,no
135,-0.9786533697,13.59,no
136,-0.9788979657,13.79,no
137,-0.9791397591,13.99,no
138,-0.979378782,14.19,no
139,-0.979615066,14.39,no
140,-0.9798486427,14.59,no
141,-0.9800795429,14.8,no
142,-0.9803077974,15.01,no
