index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,1.2,1.032e-08,no
2,1.201,1.042e-08,no
3,1.202,1.051e-08,no
4,1.203,1.061e-08,no
5,1.204,1.071e-08,no
6,1.205,1.081e-08,no
7,1.206,1.091e-08,no
8,1.207,1.101e-08,no
9,1.208,1.111e-08,no
10,1.209,1.121e-08,no
11,1.21,1.131e-08,no
12,1.211,1.142e-08,no
13,1.212,1.152e-08,no
14,1.213,1.163e-08,no
15,1.214,1.173e-08,no
16,1.215,1.184e-08,no
17,1.216,1.195e-08,no
18,1.217,1.206e-08,no
19,1.218,1.217e-08,no
20,1.219,1.228e-08,no
21,1.22,1.239e-08,no
22,1.221,1.251e-08,no
23,1.222,1.262e-08,no
24,1.223,1.273e-08,no
25,1.224,1.285e-08,no
26,1.225,1.297e-08,no
27,1.226,1.308e-08,no
28,1.227,1.32e-08,no
29,1.228,1.332e-08,no
30,1.229,1.344e-08,no
31,1.23,1.356e-08,no
32,1.231,1.369e-08,no
33,1.232,1.381e-08,no
34,1.233,1.394e-08,no
35,1.234,1.406e-08,no
36,1.235,1.419e-08,no
37,1.236,1.432e-08,no
38,1.237,1.444e-08,no
39,1.238,1.457e-08,no
40,1.239,1.471e-08,no
41,1.24,1.484e-08,no
42,1.241,1.497e-08,no
43,1.242,1.511e-08,no
44,1.243,1.524e-08,no
45,1.244,1.538e-08,no
46,1.245,1.551e-08,no
47,1.246,1.565e-08,no
48,1.247,1.579e-08,no
49,1.248,1.593e-08,no
50,1.249,1.608e-08,no
51,1.25,1.622e-08,no
52,1.251,1.636e-08,no
53,1.252,1.651e-08,no
54,1.253,1.666e-08,no
55,1.254,1.68e-08,no
56,1.255,1.695e-08,no
57,1.256,1.71e-08,no
58,1.257,1.726e-08,no
59,1.258,1.741e-08,no
60,1.259,1.756e-08,no
61,1.26,1.772e-08,no
62,1.261,1.787e-08,no
63,1.262,1.803e-08,no
64,1.263,1.819e-08,no
65,1.264,1.835e-08,no
66,1.265,1.851e-08,no
67,1.266,1.868e-08,no
68,1.267,1.884e-08,no
69,1.268,1.901e-08,no
70,1.269,1.917e-08,no
71,1.27,1.934e-08,no
72,1.271,1.951e-08,no
73,1.272,1.968e-08,no
74,1.273,1.986e-08,no
75,1.274,2.003e-08,no
76,1.275,2.02e-08,no
77,1.276,2.038e-08,no
78,1.277,2.056e-08,no
79,1.278,2.074e-08,no
80,1.279,2.092e-08,no
81,1.28,2.11e-08,no
82,1.281,2.129e-08,no
83,1.282,2.147e-08,no
84,1.283,2.166e-08,no
85,1.284,2.185e-08,no
86,1.285,2.204e-08,no
87,1.286,2.223e-08,no
88,1.287,2.242e-08,no
89,1.288,2.261e-08,no
90,1.289,2.281e-08,no
91,1.29,2.301e-08,no
92,1.291,2.321e-08,no
93,1.292,2.341e-08,no
94,1.293,2.361e-08,no
95,1.294,2.381e-08,no
96,1.295,2.402e-08,no
97,1.296,2.423e-08,no
98,1.297,2.443e-08,no
99,1.298,2.464e-08,no
100,1.299,2.486e-08,no
101,1.3,2.507e-08,no
102,1.301,2.529e-08,no
103,1.302,2.55e-08,no
104,1.303,2.572e-08,no
105,1.304,2.594e-08,no
106,1.305,2.616e-08,no
107,1.306,2.639e-08,no
108,1.307,2.661e-08,no
109,1.308,2.684e-08,no
110,1.309,2.707e-08,no
111,1.31,2.73e-08,no
112,1.311,2.753e-08,no
113,1.312,2.777e-08,no
114,1.313,2.8e-08,no
115,1.314,2.824e-08,no
116,1.315,2.848e-08,no
117,1.316,2.873e-08,no
118,1.317,2.897e-08,no
119,1.318,2.921e-08,no
120,1.319,2.946e-08,no
121,1.32,2.971e-08,no
122,1.321,2.996e-08,no
123,1.322,3.022e-08,no
124,1.323,3.047e-08,no
125,1.324,3.073e-08,no
126,1.325,3.099e-08,no
127,1.326,3.125e-08,no
128,1.327,3.151e-08,no
129,1.328,3.178e-08,no
130,1.329,3.205e-08,no
131,1.33,3.232e-08,no
132,1.331,3.259e-08,no
133,1.332,3.286e-08,no
134,1.333,3.314e-08,no
135,1.334,3.342e-08,no
136,1.335,3.37e-08,no
137,1.336,3.398e-08,no
138,1.337,3.426e-08,no
139,1.338,3.455e-08,no
140,1.339,3.484e-08,no
141,1.34,3.513e-08,no
142,1.341,3.542e-08,no
143,1.342,3.572e-08,no
144,1.343,3.602e-08,no
145,1.344,3.632e-08,no
146,1.345,3.662e-08,no
147,1.346,3.692e-08,no
148,1.347,3.723e-08,no
149,1.348,3.754e-08,no
150,1.349,3.785e-08,no
151,1.35,3.817e-08,no
152,1.351,3.848e-08,no
153,1.352,3.88e-08,no
154,1.353,3.912e-08,no
155,1.354,3.945e-08,no
156,1.355,3.977e-08,no
157,1.356,4.01e-08,no
158,1.357,4.043e-08,no
159,1.358,4.077e-08,no
160,1.359,4.11e-08,no
161,1.36,4.144e-08,no
162,1.361,4.178e-08,no
163,1.362,4.213e-08,no
164,1.363,4.247e-08,no
165,1.364,4.282e-08,no
166,1.365,4.317e-08,no
167,1.366,4.353e-08,no
168,1.367,4.389e-08,no
169,1.368,4.425e-08,no
170,1.369,4.461e-08,no
171,1.37,4.497e-08,no
172,1.371,4.534e-08,no
173,1.372,4.571e-08,no
174,1.373,4.609e-08,no
175,1.374,4.646e-08,no
176,1.375,4.684e-08,no
177,1.376,4.722e-08,no
178,1.377,4.761e-08,no
179,1.378,4.8e-08,no
180,1.379,4.839e-08,no
181,1.38,4.878e-08,no
182,1.381,4.918e-08,no
183,1.382,4.957e-08,no
184,1.383,4.998e-08,no
185,1.384,5.038e-08,no
186,1.385,5.079e-08,no
187,1.386,5.12e-08,no
188,1.387,5.162e-08,no
189,1.388,5.203e-08,no
190,1.389,5.245e-08,no
191,1.39,5.288e-08,no
192,1.391,5.331e-08,no
193,1.392,5.374e-08,no
194,1.393,5.417e-08,no
195,1.394,5.461e-08,no
196,1.395,5.504e-08,no
197,1.396,5.549e-08,no
198,1.397,5.593e-08,no
199,1.398,5.638e-08,no
200,1.399,5.684e-08,no
201,1.4,5.729e-08,no
202,1.401,5.775e-08,no
203,1.402,5.821e-08,no
204,1.403,5.868e-08,no
205,1.404,5.915e-08,no
206,1.405,5.962e-08,no
207,1.406,6.01e-08,no
208,1.407,6.058e-08,no
209,1.408,6.106e-08,no
210,1.409,6.155e-08,no
211,1.41,6.204e-08,no
212,1.411,6.254e-08,no
213,1.412,6.303e-08,no
214,1.413,6.354e-08,no
