index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,-0.9,3.175e-08,no
2,-0.9011458298,3.292e-08,no
3,-0.9022785303,3.412e-08,no
4,-0.903398252,3.536e-08,no
5,-0.9045051436,3.664e-08,no
6,-0.9055993521,3.796e-08,no
7,-0.9066810228,3.933e-08,no
8,-0.9077502995,4.073e-08,no
9,-0.908807324,4.218e-08,no
10,-0.9098522369,4.367e-08,no
11,-0.9108851768,4.521e-08,no
12,-0.911906281,4.68e-08,no
13,-0.912915685,4.844e-08,no
14,-0.913913523,5.012e-08,no
15,-0.9148999275,5.186e-08,no
16,-0.9158750295,5.365e-08,no
17,-0.9168389585,5.55e-08,no
18,-0.9177918424,5.74e-08,no
19,-0.918733808,5.935e-08,no
20,-0.9196649802,6.137e-08,no
21,-0.9205854828,6.345e-08,no
22,-0.921495438,6.558e-08,no
23,-0.9223949666,6.779e-08,no
24,-0.9232841882,7.005e-08,no
25,-0.9241632209,7.239e-08,no
26,-0.9250321813,7.479e-08,no
27,-0.9258911848,7.726e-08,no
28,-0.9267403457,7.981e-08,no
29,-0.9275797767,8.243e-08,no
30,-0.9284095891,8.512e-08,no
31,-0.9292298934,8.79e-08,no
32,-0.9300407983,9.075e-08,no
33,-0.9308424117,9.369e-08,no
34,-0.93163484,9.671e-08,no
35,-0.9324181883,9.982e-08,no
36,-0.9331925608,1.03e-07,no
37,-0.9339580604,1.063e-07,no
38,-0.9347147886,1.097e-07,no
39,-0.935462846,1.132e-07,no
40,-0.9362023319,1.167e-07,no
41,-0.9369333446,1.204e-07,no
42,-0.9376559811,1.242e-07,no
43,-0.9383703374,1.281e-07,no
44,-0.9390765085,1.321e-07,no
45,-0.939774588,1.362e-07,no
46,-0.9404646687,1.404e-07,no
47,-0.9411468422,1.448e-07,no
48,-0.9418211993,1.492e-07,no
49,-0.9424878293,1.538e-07,no
50,-0.9431468209,1.585e-07,no
51,-0.9437982615,1.634e-07,no
52,-0.9444422378,1.683e-07,no
53,-0.9450788352,1.734e-07,no
54,-0.9457081382,1.787e-07,no
55,-0.9463302305,1.841e-07,no
56,-0.9469451947,1.896e-07,no
57,-0.9475531125,1.953e-07,no
58,-0.9481540646,2.012e-07,no
59,-0.9487481307,2.072e-07,no
60,-0.9493353899,2.134e-07,no
61,-0.9499159201,2.197e-07,no
62,-0.9504897984,2.262e-07,no
63,-0.951057101,2.329e-07,no
64,-0.9516179034,2.398e-07,no
65,-0.9521722798,2.468e-07,no
66,-0.9527203041,2.541e-07,no
67,-0.9532620489,2.615e-07,no
68,-0.9537975863,2.691e-07,no
69,-0.9543269873,2.77e-07,no
70,-0.9548503223,2.85e-07,no
71,-0.9553676607,2.933e-07,no
72,-0.9558790714,3.018e-07,no
73,-0.9563846221,3.105e-07,no
74,-0.9568843801,3.194e-07,no
75,-0.9573784117,3.286e-07,no
76,-0.9578667826,3.38e-07,no
77,-0.9583495575,3.476e-07,no
78,-0.9588268007,3.576e-07,no
79,-0.9592985755,3.677e-07,no
80,-0.9597649445,3.782e-07,no
81,-0.9602259698,3.889e-07,no
82,-0.9606817124,3.999e-07,no
83,-0.9611322331,4.112e-07,no
84,-0.9615775915,4.228e-07,no
85,-0.9620178469,4.346e-07,no
86,-0.9624530578,4.468e-07,no
87,-0.9628832818,4.593e-07,no
88,-0.9633085762,4.722e-07,no
89,-0.9637289975,4.853e-07,no
