index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,1.2,0.5991,no
2,1.201,0.6023,no
3,1.202,0.6056,no
4,1.203,0.6088,no
5,1.204,0.6121,no
6,1.205,0.6154,no
7,1.206,0.6187,no
8,1.207,0.622,no
9,1.208,0.6253,no
10,1.209,0.6287,no
11,1.21,0.632,no
12,1.211,0.6354,no
13,1.212,0.6388,no
14,1.213,0.6422,no
15,1.214,0.6456,no
16,1.215,0.6491,no
17,1.216,0.6525,no
18,1.217,0.656,no
19,1.218,0.6595,no
20,1.219,0.663,no
21,1.22,0.6665,no
22,1.221,0.67,no
23,1.222,0.6736,no
24,1.223,0.6771,no
25,1.224,0.6807,no
26,1.225,0.6843,no
27,1.226,0.6879,no
28,1.227,0.6916,no
29,1.228,0.6952,no
30,1.229,0.6989,no
31,1.23,0.7025,no
32,1.231,0.7062,no
33,1.232,0.7099,no
34,1.233,0.7137,no
35,1.234,0.7174,no
36,1.235,0.7212,no
37,1.236,0.7249,no
38,1.237,0.7287,no
39,1.238,0.7325,no
40,1.239,0.7363,no
41,1.24,0.7402,no
42,1.241,0.744,no
43,1.242,0.7479,no
44,1.243,0.7518,no
45,1.244,0.7557,no
46,1.245,0.7596,no
47,1.246,0.7636,no
48,1.247,0.7675,no
49,1.248,0.7715,no
50,1.249,0.7755,no
51,1.25,0.7795,no
52,1.251,0.7835,no
53,1.252,0.7876,no
54,1.253,0.7916,no
55,1.254,0.7957,no
56,1.255,0.7998,no
57,1.256,0.8039,no
58,1.257,0.8081,no
59,1.258,0.8122,no
60,1.259,0.8164,no
61,1.26,0.8206,no
62,1.261,0.8248,no
63,1.262,0.829,no
64,1.263,0.8332,no
65,1.264,0.8375,no
66,1.265,0.8418,no
67,1.266,0.8461,no
68,1.267,0.8504,no
69,1.268,0.8547,no
70,1.269,0.8591,no
71,1.27,0.8634,no
72,1.271,0.8678,no
73,1.272,0.8722,no
74,1.273,0.8767,no
75,1.274,0.8811,no
76,1.275,0.8856,no
77,1.276,0.8901,no
78,1.277,0.8946,no
79,1.278,0.8991,no
80,1.279,0.9036,no
81,1.28,0.9082,no
82,1.281,0.9128,no
83,1.282,0.9174,no
84,1.283,0.922,no
85,1.284,0.9266,no
86,1.285,0.9313,no
87,1.286,0.9359,no
88,1.287,0.9406,no
89,1.288,0.9453,no
90,1.289,0.9501,no
91,1.29,0.9548,no
92,1.291,0.9596,no
93,1.292,0.9644,no
94,1.293,0.9692,no
95,1.294,0.9741,no
96,1.295,0.9789,no
97,1.296,0.9838,no
98,1.297,0.9887,no
99,1.298,0.9936,no
100,1.299,0.9985,no
101,1.3,1.003,no
102,1.301,1.008,no
103,1.302,1.013,no
104,1.303,1.018,no
105,1.304,1.024,no
106,1.305,1.029,no
107,1.306,1.034,no
108,1.307,1.039,no
109,1.308,1.044,no
110,1.309,1.049,no
111,1.31,1.054,no
112,1.311,1.059,no
113,1.312,1.065,no
114,1.313,1.07,no
115,1.314,1.075,no
116,1.315,1.08,no
117,1.316,1.086,no
118,1.317,1.091,no
119,1.318,1.096,no
120,1.319,1.102,no
121,1.32,1.107,no
122,1.321,1.112,no
123,1.322,1.118,no
124,1.323,1.123,no
125,1.324,1.129,no
126,1.325,1.134,no
127,1.326,1.14,no
128,1.327,1.145,no
129,1.328,1.151,no
130,1.329,1.156,no
131,1.33,1.162,no
132,1.331,1.168,no
133,1.332,1.173,no
134,1.333,1.179,no
135,1.334,1.185,no
136,1.335,1.19,no
137,1.336,1.196,no
138,1.337,1.202,no
139,1.338,1.208,no
140,1.339,1.214,no
141,1.34,1.219,no
142,1.341,1.225,no
143,1.342,1.231,no
144,1.343,1.237,no
145,1.344,1.243,no
146,1.345,1.249,no
147,1.346,1.255,no
148,1.347,1.261,no
149,1.348,1.267,no
150,1.349,1.273,no
151,1.35,1.279,no
152,1.351,1.285,no
153,1.352,1.291,no
154,1.353,1.297,no
155,1.354,1.304,no
156,1.355,1.31,no
157,1.356,1.316,no
158,1.357,1.322,no
159,1.358,1.329,no
160,1.359,1.335,no
161,1.36,1.341,no
162,1.361,1.348,no
163,1.362,1.354,no
164,1.363,1.36,no
165,1.364,1.367,no
166,1.365,1.373,no
167,1.366,1.38,no
168,1.367,1.386,no
169,1.368,1.393,no
170,1.369,1.399,no
171,1.37,1.406,no
172,1.371,1.412,no
173,1.372,1.419,no
174,1.373,1.426,no
175,1.374,1.432,no
176,1.375,1.439,no
177,1.376,1.446,no
178,1.377,1.453,no
179,1.378,1.459,no
180,1.379,1.466,no
181,1.38,1.473,no
182,1.381,1.48,no
183,1.382,1.487,no
184,1.383,1.494,no
185,1.384,1.501,no
186,1.385,1.508,no
187,1.386,1.515,no
188,1.387,1.522,no
189,1.388,1.529,no
190,1.389,1.536,no
191,1.39,1.543,no
192,1.391,1.55,no
193,1.392,1.557,no
194,1.393,1.564,no
195,1.394,1.572,no
196,1.395,1.579,no
197,1.396,1.586,no
198,1.397,1.593,no
199,1.398,1.601,no
200,1.399,1.608,no
201,1.4,1.616,no
202,1.401,1.623,no
203,1.402,1.63,no
204,1.403,1.638,no
205,1.404,1.645,no
206,1.405,1.653,no
207,1.406,1.66,no
208,1.407,1.668,no
209,1.408,1.676,no
210,1.409,1.683,no
211,1.41,1.691,no
212,1.411,1.699,no
213,1.412,1.706,no
214,1.413,1.714,no
215,1.414,1.722,no
216,1.415,1.73,no
217,1.416,1.738,no
218,1.417,1.746,no
219,1.418,1.754,no
220,1.419,1.761,no
221,1.42,1.769,no
222,1.421,1.777,no
223,1.422,1.785,no
224,1.423,1.794,no
225,1.424,1.802,no
226,1.425,1.81,no
227,1.426,1.818,no
228,1.427,1.826,no
229,1.428,1.834,no
230,1.429,1.843,no
231,1.43,1.851,no
232,1.431,1.859,no
233,1.432,1.868,no
234,1.433,1.876,no
235,1.434,1.884,no
236,1.435,1.893,no
237,1.436,1.901,no
238,1.437,1.91,no
239,1.438,1.918,no
240,1.439,1.927,no
241,1.44,1.935,no
242,1.441,1.944,no
243,1.442,1.953,no
244,1.443,1.961,no
245,1.444,1.97,no
246,1.445,1.979,no
247,1.446,1.988,no
248,1.447,1.997,no
249,1.448,2.005,no
250,1.449,2.014,no
251,1.45,2.023,no
252,1.451,2.032,no
253,1.452,2.041,no
254,1.453,2.05,no
255,1.454,2.059,no
256,1.455,2.068,no
257,1.456,2.077,no
258,1.457,2.087,no
259,1.458,2.096,no
260,1.459,2.105,no
261,1.46,2.114,no
262,1.461,2.124,no
263,1.462,2.133,no
264,1.463,2.142,no
265,1.464,2.152,no
266,1.465,2.161,no
267,1.466,2.171,no
268,1.467,2.18,no
269,1.468,2.19,no
270,1.469,2.199,no
271,1.47,2.209,no
272,1.471,2.218,no
273,1.472,2.228,no
274,1.473,2.238,no
275,1.474,2.248,no
276,1.475,2.257,no
277,1.476,2.267,no
278,1.477,2.277,no
279,1.478,2.287,no
280,1.479,2.297,no
281,1.48,2.307,no
282,1.481,2.317,no
283,1.482,2.327,no
284,1.483,2.337,no
285,1.484,2.347,no
286,1.485,2.357,no
287,1.486,2.367,no
288,1.487,2.378,no
289,1.488,2.388,no
290,1.489,2.398,no
291,1.49,2.408,no
292,1.491,2.419,no
293,1.492,2.429,no
294,1.493,2.44,no
295,1.494,2.45,no
296,1.495,2.461,no
297,1.496,2.471,no
298,1.497,2.482,no
299,1.498,2.492,no
300,1.499,2.503,no
301,1.5,2.514,no
302,1.501,2.525,no
303,1.502,2.535,no
304,1.503,2.546,no
305,1.504,2.557,no
306,1.505,2.568,no
307,1.506,2.579,no
308,1.507,2.59,no
309,1.508,2.601,no
310,1.509,2.612,no
