index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,-0.8,0.3857,yes
2,-0.799,0.3805,no
3,-0.798,0.3753,no
4,-0.797,0.3702,no
5,-0.796,0.3651,no
6,-0.795,0.3602,no
7,-0.794,0.3553,no
8,-0.793,0.3505,no
9,-0.792,0.3457,no
10,-0.791,0.341,no
11,-0.79,0.3364,no
12,-0.789,0.3319,no
13,-0.788,0.3274,no
14,-0.787,0.323,no
15,-0.786,0.3186,no
16,-0.785,0.3143,no
17,-0.784,0.3101,no
18,-0.783,0.3059,no
19,-0.782,0.3018,no
20,-0.781,0.2977,no
21,-0.78,0.2937,no
22,-0.779,0.2898,no
23,-0.778,0.2859,no
24,-0.777,0.2821,no
25,-0.776,0.2783,no
26,-0.775,0.2746,no
27,-0.774,0.2709,no
28,-0.773,0.2673,no
29,-0.772,0.2637,no
30,-0.771,0.2602,no
31,-0.77,0.2567,no
32,-0.769,0.2533,no
33,-0.768,0.2499,no
34,-0.767,0.2466,no
35,-0.766,0.2433,no
36,-0.765,0.24,no
37,-0.764,0.2368,no
38,-0.763,0.2337,no
39,-0.762,0.2306,no
40,-0.761,0.2275,no
41,-0.76,0.2245,no
42,-0.759,0.2215,no
43,-0.758,0.2186,no
44,-0.757,0.2157,no
45,-0.756,0.2128,no
46,-0.755,0.21,no
47,-0.754,0.2072,no
48,-0.753,0.2044,no
49,-0.752,0.2017,no
50,-0.751,0.1991,no
51,-0.75,0.1964,no
52,-0.749,0.1938,no
53,-0.748,0.1913,no
54,-0.747,0.1887,no
55,-0.746,0.1862,no
56,-0.745,0.1838,no
57,-0.744,0.1813,no
58,-0.743,0.1789,no
59,-0.742,0.1766,no
60,-0.741,0.1742,no
61,-0.74,0.1719,no
62,-0.739,0.1697,no
63,-0.738,0.1674,no
64,-0.737,0.1652,no
65,-0.736,0.163,no
66,-0.735,0.1609,no
67,-0.734,0.1587,no
68,-0.733,0.1566,no
69,-0.732,0.1546,no
70,-0.731,0.1525,no
71,-0.73,0.1505,no
72,-0.729,0.1485,no
73,-0.728,0.1466,no
74,-0.727,0.1446,no
75,-0.726,0.1427,no
76,-0.725,0.1408,no
77,-0.724,0.139,no
78,-0.723,0.1371,no
79,-0.722,0.1353,no
80,-0.721,0.1335,no
81,-0.72,0.1318,no
82,-0.719,0.13,no
83,-0.718,0.1283,no
84,-0.717,0.1266,no
85,-0.716,0.125,no
86,-0.715,0.1233,no
87,-0.714,0.1217,no
