index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,-0.8,0.1071,yes
2,-0.799,0.1058,no
3,-0.798,0.1046,no
4,-0.797,0.1033,no
5,-0.796,0.102,no
6,-0.795,0.1008,no
7,-0.794,0.09957,no
8,-0.793,0.09836,no
9,-0.792,0.09716,no
10,-0.791,0.09599,no
11,-0.79,0.09482,no
12,-0.789,0.09367,no
13,-0.788,0.09253,no
14,-0.787,0.09141,no
15,-0.786,0.0903,no
16,-0.785,0.08921,no
17,-0.784,0.08813,no
18,-0.783,0.08706,no
19,-0.782,0.086,no
20,-0.781,0.08496,no
21,-0.78,0.08393,no
22,-0.779,0.08291,no
23,-0.778,0.08191,no
24,-0.777,0.08091,no
25,-0.776,0.07993,no
26,-0.775,0.07896,no
27,-0.774,0.07801,no
28,-0.773,0.07706,no
29,-0.772,0.07613,no
30,-0.771,0.0752,no
31,-0.77,0.07429,no
32,-0.769,0.07339,no
33,-0.768,0.0725,no
34,-0.767,0.07162,no
35,-0.766,0.07075,no
36,-0.765,0.0699,no
37,-0.764,0.06905,no
38,-0.763,0.06821,no
39,-0.762,0.06738,no
40,-0.761,0.06657,no
41,-0.76,0.06576,no
42,-0.759,0.06496,no
43,-0.758,0.06417,no
44,-0.757,0.06339,no
45,-0.756,0.06262,no
46,-0.755,0.06186,no
47,-0.754,0.06111,no
48,-0.753,0.06037,no
49,-0.752,0.05963,no
50,-0.751,0.05891,no
51,-0.75,0.05819,no
52,-0.749,0.05749,no
53,-0.748,0.05679,no
54,-0.747,0.0561,no
55,-0.746,0.05541,no
56,-0.745,0.05474,no
57,-0.744,0.05407,no
58,-0.743,0.05341,no
59,-0.742,0.05276,no
60,-0.741,0.05212,no
61,-0.74,0.05148,no
62,-0.739,0.05086,no
63,-0.738,0.05024,no
64,-0.737,0.04962,no
65,-0.736,0.04902,no
66,-0.735,0.04842,no
67,-0.734,0.04783,no
68,-0.733,0.04724,no
69,-0.732,0.04667,no
70,-0.731,0.0461,no
71,-0.73,0.04553,no
72,-0.729,0.04497,no
73,-0.728,0.04442,no
74,-0.727,0.04388,no
75,-0.726,0.04334,no
76,-0.725,0.04281,no
77,-0.724,0.04229,no
78,-0.723,0.04177,no
79,-0.722,0.04125,no
80,-0.721,0.04075,no
81,-0.72,0.04025,no
82,-0.719,0.03975,no
83,-0.718,0.03926,no
84,-0.717,0.03878,no
85,-0.716,0.0383,no
86,-0.715,0.03783,no
87,-0.714,0.03737,no
88,-0.713,0.03691,no
89,-0.712,0.03645,no
90,-0.711,0.036,no
91,-0.71,0.03556,no
92,-0.709,0.03512,no
93,-0.708,0.03468,no
94,-0.707,0.03426,no
95,-0.706,0.03383,no
96,-0.705,0.03341,no
97,-0.704,0.033,no
98,-0.703,0.03259,no
99,-0.702,0.03219,no
100,-0.701,0.03179,no
101,-0.7,0.03139,no
102,-0.699,0.031,no
103,-0.698,0.03062,no
104,-0.697,0.03024,no
105,-0.696,0.02986,no
106,-0.695,0.02949,no
107,-0.694,0.02912,no
108,-0.693,0.02876,no
109,-0.692,0.0284,no
110,-0.691,0.02805,no
111,-0.69,0.0277,no
112,-0.689,0.02735,no
113,-0.688,0.02701,no
114,-0.687,0.02667,no
115,-0.686,0.02634,no
116,-0.685,0.02601,no
117,-0.684,0.02568,no
118,-0.683,0.02536,no
119,-0.682,0.02504,no
120,-0.681,0.02472,no
121,-0.68,0.02441,no
122,-0.679,0.02411,no
123,-0.678,0.0238,no
124,-0.677,0.0235,no
125,-0.676,0.02321,no
126,-0.675,0.02291,no
127,-0.674,0.02262,no
128,-0.673,0.02234,no
129,-0.672,0.02206,no
130,-0.671,0.02178,no
131,-0.67,0.0215,no
132,-0.669,0.02123,no
133,-0.668,0.02096,no
134,-0.667,0.02069,no
135,-0.666,0.02043,no
136,-0.665,0.02017,no
137,-0.664,0.01991,no
138,-0.663,0.01966,no
139,-0.662,0.01941,no
140,-0.661,0.01916,no
141,-0.66,0.01892,no
142,-0.659,0.01868,no
143,-0.658,0.01844,no
144,-0.657,0.0182,no
145,-0.656,0.01797,no
146,-0.655,0.01774,no
147,-0.654,0.01751,no
148,-0.653,0.01729,no
149,-0.652,0.01706,no
150,-0.651,0.01685,no
151,-0.65,0.01663,no
152,-0.649,0.01641,no
153,-0.648,0.0162,no
154,-0.647,0.01599,no
155,-0.646,0.01579,no
156,-0.645,0.01558,no
157,-0.644,0.01538,no
158,-0.643,0.01518,no
159,-0.642,0.01499,no
160,-0.641,0.01479,no
161,-0.64,0.0146,no
162,-0.639,0.01441,no
163,-0.638,0.01422,no
164,-0.637,0.01404,no
165,-0.636,0.01385,no
166,-0.635,0.01367,no
167,-0.634,0.01349,no
168,-0.633,0.01332,no
169,-0.632,0.01314,no
170,-0.631,0.01297,no
171,-0.63,0.0128,no
172,-0.629,0.01263,no
173,-0.628,0.01247,no
174,-0.627,0.0123,no
175,-0.626,0.01214,no
176,-0.625,0.01198,no
177,-0.624,0.01182,no
178,-0.623,0.01167,no
179,-0.622,0.01151,no
180,-0.621,0.01136,no
181,-0.62,0.01121,no
182,-0.619,0.01106,no
183,-0.618,0.01092,no
184,-0.617,0.01077,no
185,-0.616,0.01063,no
186,-0.615,0.01049,no
187,-0.614,0.01035,no
188,-0.613,0.01021,no
189,-0.612,0.01007,no
190,-0.611,0.009938,no
191,-0.61,0.009805,no
192,-0.609,0.009674,no
193,-0.608,0.009544,no
194,-0.607,0.009416,no
195,-0.606,0.009289,no
196,-0.605,0.009165,no
197,-0.604,0.009041,no
198,-0.603,0.008919,no
199,-0.602,0.008799,no
200,-0.601,0.00868,no
201,-0.6,0.008563,no
202,-0.599,0.008447,no
