index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,-0.8,0.0001491,yes
2,-0.799,0.0001446,no
3,-0.798,0.0001403,no
4,-0.797,0.0001361,no
5,-0.796,0.000132,no
6,-0.795,0.000128,no
7,-0.794,0.0001242,no
8,-0.793,0.0001205,no
9,-0.792,0.0001169,no
10,-0.791,0.0001134,no
11,-0.79,0.00011,no
12,-0.789,0.0001067,no
13,-0.788,0.0001035,no
14,-0.787,0.0001004,no
15,-0.786,9.746e-05,no
16,-0.785,9.456e-05,no
17,-0.784,9.176e-05,no
18,-0.783,8.904e-05,no
19,-0.782,8.641e-05,no
20,-0.781,8.385e-05,no
21,-0.78,8.137e-05,no
22,-0.779,7.897e-05,no
23,-0.778,7.664e-05,no
24,-0.777,7.438e-05,no
25,-0.776,7.22e-05,no
26,-0.775,7.007e-05,no
27,-0.774,6.801e-05,no
28,-0.773,6.602e-05,no
29,-0.772,6.408e-05,no
30,-0.771,6.22e-05,no
31,-0.77,6.038e-05,no
32,-0.769,5.862e-05,no
33,-0.768,5.69e-05,no
34,-0.767,5.524e-05,no
35,-0.766,5.363e-05,no
36,-0.765,5.207e-05,no
37,-0.764,5.055e-05,no
38,-0.763,4.908e-05,no
39,-0.762,4.765e-05,no
40,-0.761,4.626e-05,no
41,-0.76,4.492e-05,no
42,-0.759,4.362e-05,no
43,-0.758,4.235e-05,no
44,-0.757,4.112e-05,no
45,-0.756,3.993e-05,no
46,-0.755,3.878e-05,no
47,-0.754,3.766e-05,no
48,-0.753,3.657e-05,no
49,-0.752,3.551e-05,no
50,-0.751,3.449e-05,no
51,-0.75,3.349e-05,no
52,-0.749,3.253e-05,no
53,-0.748,3.159e-05,no
54,-0.747,3.068e-05,no
55,-0.746,2.98e-05,no
56,-0.745,2.894e-05,no
57,-0.744,2.811e-05,no
58,-0.743,2.73e-05,no
59,-0.742,2.652e-05,no
60,-0.741,2.576e-05,no
61,-0.74,2.502e-05,no
62,-0.739,2.43e-05,no
63,-0.738,2.36e-05,no
64,-0.737,2.293e-05,no
65,-0.736,2.227e-05,no
66,-0.735,2.164e-05,no
67,-0.734,2.102e-05,no
68,-0.733,2.042e-05,no
69,-0.732,1.983e-05,no
70,-0.731,1.927e-05,no
71,-0.73,1.872e-05,no
72,-0.729,1.818e-05,no
73,-0.728,1.767e-05,no
74,-0.727,1.716e-05,no
75,-0.726,1.667e-05,no
76,-0.725,1.62e-05,no
77,-0.724,1.574e-05,no
78,-0.723,1.529e-05,no
79,-0.722,1.486e-05,no
80,-0.721,1.443e-05,no
81,-0.72,1.402e-05,no
82,-0.719,1.363e-05,no
83,-0.718,1.324e-05,no
84,-0.717,1.286e-05,no
85,-0.716,1.25e-05,no
86,-0.715,1.214e-05,no
87,-0.714,1.18e-05,no
88,-0.713,1.147e-05,no
89,-0.712,1.114e-05,no
90,-0.711,1.083e-05,no
91,-0.71,1.052e-05,no
92,-0.709,1.022e-05,no
93,-0.708,9.932e-06,no
94,-0.707,9.651e-06,no
95,-0.706,9.378e-06,no
96,-0.705,9.113e-06,no
97,-0.704,8.855e-06,no
98,-0.703,8.605e-06,no
99,-0.702,8.362e-06,no
100,-0.701,8.126e-06,no
101,-0.7,7.896e-06,no
102,-0.699,7.674e-06,no
103,-0.698,7.457e-06,no
104,-0.697,7.247e-06,no
105,-0.696,7.042e-06,no
106,-0.695,6.844e-06,no
107,-0.694,6.651e-06,no
108,-0.693,6.463e-06,no
109,-0.692,6.281e-06,no
110,-0.691,6.104e-06,no
111,-0.69,5.932e-06,no
112,-0.689,5.765e-06,no
113,-0.688,5.602e-06,no
114,-0.687,5.444e-06,no
115,-0.686,5.291e-06,no
116,-0.685,5.142e-06,no
117,-0.684,4.997e-06,no
118,-0.683,4.857e-06,no
119,-0.682,4.72e-06,no
120,-0.681,4.587e-06,no
121,-0.68,4.458e-06,no
122,-0.679,4.332e-06,no
123,-0.678,4.21e-06,no
124,-0.677,4.092e-06,no
125,-0.676,3.977e-06,no
126,-0.675,3.865e-06,no
127,-0.674,3.756e-06,no
128,-0.673,3.65e-06,no
129,-0.672,3.548e-06,no
130,-0.671,3.448e-06,no
131,-0.67,3.351e-06,no
132,-0.669,3.257e-06,no
133,-0.668,3.165e-06,no
134,-0.667,3.076e-06,no
135,-0.666,2.989e-06,no
136,-0.665,2.905e-06,no
137,-0.664,2.824e-06,no
138,-0.663,2.744e-06,no
139,-0.662,2.667e-06,no
140,-0.661,2.592e-06,no
141,-0.66,2.519e-06,no
142,-0.659,2.448e-06,no
143,-0.658,2.379e-06,no
144,-0.657,2.312e-06,no
145,-0.656,2.247e-06,no
146,-0.655,2.184e-06,no
147,-0.654,2.122e-06,no
148,-0.653,2.063e-06,no
149,-0.652,2.005e-06,no
150,-0.651,1.948e-06,no
151,-0.65,1.893e-06,no
152,-0.649,1.84e-06,no
153,-0.648,1.788e-06,no
154,-0.647,1.738e-06,no
155,-0.646,1.689e-06,no
156,-0.645,1.641e-06,no
157,-0.644,1.595e-06,no
158,-0.643,1.55e-06,no
159,-0.642,1.506e-06,no
160,-0.641,1.464e-06,no
161,-0.64,1.423e-06,no
162,-0.639,1.382e-06,no
163,-0.638,1.343e-06,no
164,-0.637,1.305e-06,no
165,-0.636,1.269e-06,no
166,-0.635,1.233e-06,no
167,-0.634,1.198e-06,no
168,-0.633,1.164e-06,no
169,-0.632,1.131e-06,no
170,-0.631,1.099e-06,no
171,-0.63,1.068e-06,no
172,-0.629,1.038e-06,no
173,-0.628,1.009e-06,no
174,-0.627,9.802e-07,no
175,-0.626,9.525e-07,no
176,-0.625,9.255e-07,no
177,-0.624,8.993e-07,no
178,-0.623,8.739e-07,no
179,-0.622,8.491e-07,no
180,-0.621,8.251e-07,no
181,-0.62,8.017e-07,no
182,-0.619,7.79e-07,no
183,-0.618,7.569e-07,no
184,-0.617,7.354e-07,no
185,-0.616,7.145e-07,no
186,-0.615,6.943e-07,no
187,-0.614,6.746e-07,no
188,-0.613,6.554e-07,no
189,-0.612,6.368e-07,no
190,-0.611,6.187e-07,no
191,-0.61,6.011e-07,no
192,-0.609,5.84e-07,no
193,-0.608,5.674e-07,no
194,-0.607,5.512e-07,no
195,-0.606,5.355e-07,no
196,-0.605,5.203e-07,no
197,-0.604,5.055e-07,no
198,-0.603,4.911e-07,no
199,-0.602,4.771e-07,no
200,-0.601,4.634e-07,no
201,-0.6,4.502e-07,no
202,-0.599,4.374e-07,no
203,-0.598,4.249e-07,no
204,-0.597,4.127e-07,no
205,-0.596,4.009e-07,no
206,-0.595,3.895e-07,no
207,-0.594,3.783e-07,no
208,-0.593,3.675e-07,no
209,-0.592,3.57e-07,no
210,-0.591,3.467e-07,no
211,-0.59,3.368e-07,no
212,-0.589,3.271e-07,no
213,-0.588,3.178e-07,no
214,-0.587,3.086e-07,no
215,-0.586,2.998e-07,no
216,-0.585,2.912e-07,no
217,-0.584,2.828e-07,no
218,-0.583,2.747e-07,no
219,-0.582,2.668e-07,no
220,-0.581,2.591e-07,no
221,-0.58,2.516e-07,no
222,-0.579,2.444e-07,no
223,-0.578,2.373e-07,no
224,-0.577,2.305e-07,no
225,-0.576,2.238e-07,no
226,-0.575,2.173e-07,no
227,-0.574,2.111e-07,no
228,-0.573,2.05e-07,no
229,-0.572,1.99e-07,no
230,-0.571,1.933e-07,no
231,-0.57,1.877e-07,no
232,-0.569,1.822e-07,no
233,-0.568,1.769e-07,no
234,-0.567,1.718e-07,no
235,-0.566,1.668e-07,no
236,-0.565,1.62e-07,no
237,-0.564,1.573e-07,no
238,-0.563,1.527e-07,no
239,-0.562,1.482e-07,no
240,-0.561,1.439e-07,no
241,-0.56,1.397e-07,no
242,-0.559,1.357e-07,no
243,-0.558,1.317e-07,no
244,-0.557,1.278e-07,no
245,-0.556,1.241e-07,no
246,-0.555,1.205e-07,no
247,-0.554,1.17e-07,no
248,-0.553,1.135e-07,no
249,-0.552,1.102e-07,no
250,-0.551,1.07e-07,no
251,-0.55,1.038e-07,no
252,-0.549,1.008e-07,no
253,-0.548,9.782e-08,no
254,-0.547,9.495e-08,no
255,-0.546,9.215e-08,no
256,-0.545,8.944e-08,no
257,-0.544,8.68e-08,no
258,-0.543,8.424e-08,no
259,-0.542,8.176e-08,no
260,-0.541,7.934e-08,no
261,-0.54,7.7e-08,no
262,-0.539,7.472e-08,no
263,-0.538,7.251e-08,no
264,-0.537,7.036e-08,no
265,-0.536,6.827e-08,no
266,-0.535,6.625e-08,no
267,-0.534,6.428e-08,no
268,-0.533,6.237e-08,no
269,-0.532,6.052e-08,no
270,-0.531,5.872e-08,no
271,-0.53,5.697e-08,no
272,-0.529,5.527e-08,no
273,-0.528,5.362e-08,no
