index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,1.2,9.066e-08,no
2,1.201,9.123e-08,no
3,1.202,9.179e-08,no
4,1.203,9.236e-08,no
5,1.204,9.293e-08,no
6,1.205,9.35e-08,no
7,1.206,9.408e-08,no
8,1.207,9.465e-08,no
9,1.208,9.524e-08,no
10,1.209,9.582e-08,no
11,1.21,9.641e-08,no
12,1.211,9.7e-08,no
13,1.212,9.759e-08,no
14,1.213,9.819e-08,no
15,1.214,9.879e-08,no
16,1.215,9.939e-08,no
17,1.216,1e-07,no
18,1.217,1.006e-07,no
19,1.218,1.012e-07,no
20,1.219,1.018e-07,no
21,1.22,1.025e-07,no
22,1.221,1.031e-07,no
23,1.222,1.037e-07,no
24,1.223,1.043e-07,no
25,1.224,1.05e-07,no
26,1.225,1.056e-07,no
27,1.226,1.062e-07,no
28,1.227,1.069e-07,no
29,1.228,1.075e-07,no
30,1.229,1.082e-07,no
31,1.23,1.088e-07,no
32,1.231,1.095e-07,no
33,1.232,1.101e-07,no
34,1.233,1.108e-07,no
35,1.234,1.114e-07,no
36,1.235,1.121e-07,no
37,1.236,1.128e-07,no
38,1.237,1.134e-07,no
39,1.238,1.141e-07,no
40,1.239,1.148e-07,no
41,1.24,1.155e-07,no
42,1.241,1.162e-07,no
43,1.242,1.169e-07,no
44,1.243,1.175e-07,no
45,1.244,1.182e-07,no
46,1.245,1.189e-07,no
47,1.246,1.196e-07,no
48,1.247,1.203e-07,no
49,1.248,1.211e-07,no
50,1.249,1.218e-07,no
51,1.25,1.225e-07,no
52,1.251,1.232e-07,no
53,1.252,1.239e-07,no
54,1.253,1.247e-07,no
55,1.254,1.254e-07,no
56,1.255,1.261e-07,no
57,1.256,1.269e-07,no
58,1.257,1.276e-07,no
59,1.258,1.283e-07,no
60,1.259,1.291e-07,no
61,1.26,1.298e-07,no
62,1.261,1.306e-07,no
63,1.262,1.314e-07,no
64,1.263,1.321e-07,no
65,1.264,1.329e-07,no
66,1.265,1.337e-07,no
67,1.266,1.344e-07,no
68,1.267,1.352e-07,no
69,1.268,1.36e-07,no
70,1.269,1.368e-07,no
71,1.27,1.376e-07,no
72,1.271,1.384e-07,no
73,1.272,1.391e-07,no
74,1.273,1.399e-07,no
75,1.274,1.408e-07,no
76,1.275,1.416e-07,no
77,1.276,1.424e-07,no
78,1.277,1.432e-07,no
79,1.278,1.44e-07,no
80,1.279,1.448e-07,no
81,1.28,1.457e-07,no
82,1.281,1.465e-07,no
83,1.282,1.473e-07,no
84,1.283,1.482e-07,no
85,1.284,1.49e-07,no
86,1.285,1.498e-07,no
87,1.286,1.507e-07,no
88,1.287,1.515e-07,no
89,1.288,1.524e-07,no
90,1.289,1.533e-07,no
91,1.29,1.541e-07,no
92,1.291,1.55e-07,no
93,1.292,1.559e-07,no
94,1.293,1.568e-07,no
95,1.294,1.576e-07,no
96,1.295,1.585e-07,no
97,1.296,1.594e-07,no
98,1.297,1.603e-07,no
99,1.298,1.612e-07,no
100,1.299,1.621e-07,no
101,1.3,1.63e-07,no
102,1.301,1.639e-07,no
103,1.302,1.648e-07,no
104,1.303,1.658e-07,no
105,1.304,1.667e-07,no
106,1.305,1.676e-07,no
107,1.306,1.685e-07,no
108,1.307,1.695e-07,no
109,1.308,1.704e-07,no
110,1.309,1.714e-07,no
111,1.31,1.723e-07,no
112,1.311,1.733e-07,no
113,1.312,1.742e-07,no
114,1.313,1.752e-07,no
115,1.314,1.762e-07,no
116,1.315,1.771e-07,no
117,1.316,1.781e-07,no
118,1.317,1.791e-07,no
119,1.318,1.801e-07,no
120,1.319,1.81e-07,no
121,1.32,1.82e-07,no
122,1.321,1.83e-07,no
123,1.322,1.84e-07,no
124,1.323,1.85e-07,no
125,1.324,1.861e-07,no
126,1.325,1.871e-07,no
127,1.326,1.881e-07,no
128,1.327,1.891e-07,no
129,1.328,1.901e-07,no
130,1.329,1.912e-07,no
131,1.33,1.922e-07,no
132,1.331,1.933e-07,no
133,1.332,1.943e-07,no
134,1.333,1.954e-07,no
135,1.334,1.964e-07,no
136,1.335,1.975e-07,no
137,1.336,1.985e-07,no
138,1.337,1.996e-07,no
139,1.338,2.007e-07,no
140,1.339,2.018e-07,no
141,1.34,2.029e-07,no
142,1.341,2.039e-07,no
143,1.342,2.05e-07,no
144,1.343,2.061e-07,no
145,1.344,2.072e-07,no
146,1.345,2.084e-07,no
147,1.346,2.095e-07,no
148,1.347,2.106e-07,no
149,1.348,2.117e-07,no
150,1.349,2.128e-07,no
151,1.35,2.14e-07,no
152,1.351,2.151e-07,no
153,1.352,2.163e-07,no
154,1.353,2.174e-07,no
155,1.354,2.186e-07,no
156,1.355,2.197e-07,no
157,1.356,2.209e-07,no
158,1.357,2.221e-07,no
159,1.358,2.232e-07,no
160,1.359,2.244e-07,no
161,1.36,2.256e-07,no
162,1.361,2.268e-07,no
163,1.362,2.28e-07,no
164,1.363,2.292e-07,no
165,1.364,2.304e-07,no
166,1.365,2.316e-07,no
167,1.366,2.328e-07,no
168,1.367,2.34e-07,no
169,1.368,2.353e-07,no
170,1.369,2.365e-07,no
171,1.37,2.377e-07,no
172,1.371,2.39e-07,no
173,1.372,2.402e-07,no
174,1.373,2.415e-07,no
175,1.374,2.427e-07,no
176,1.375,2.44e-07,no
177,1.376,2.452e-07,no
178,1.377,2.465e-07,no
179,1.378,2.478e-07,no
180,1.379,2.491e-07,no
181,1.38,2.504e-07,no
182,1.381,2.517e-07,no
183,1.382,2.53e-07,no
184,1.383,2.543e-07,no
185,1.384,2.556e-07,no
186,1.385,2.569e-07,no
187,1.386,2.582e-07,no
188,1.387,2.596e-07,no
189,1.388,2.609e-07,no
190,1.389,2.622e-07,no
191,1.39,2.636e-07,no
192,1.391,2.649e-07,no
193,1.392,2.663e-07,no
194,1.393,2.676e-07,no
195,1.394,2.69e-07,no
196,1.395,2.704e-07,no
197,1.396,2.718e-07,no
198,1.397,2.732e-07,no
199,1.398,2.745e-07,no
200,1.399,2.759e-07,no
201,1.4,2.773e-07,no
202,1.401,2.787e-07,no
203,1.402,2.802e-07,no
