index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,1.2,0.3223,no
2,1.201,0.3251,no
3,1.202,0.328,no
4,1.203,0.3309,no
5,1.204,0.3338,no
6,1.205,0.3367,no
7,1.206,0.3396,no
8,1.207,0.3426,no
9,1.208,0.3456,no
10,1.209,0.3486,no
11,1.21,0.3516,no
12,1.211,0.3547,no
13,1.212,0.3577,no
14,1.213,0.3608,no
15,1.214,0.364,no
16,1.215,0.3671,no
17,1.216,0.3703,no
18,1.217,0.3735,no
19,1.218,0.3767,no
20,1.219,0.38,no
21,1.22,0.3833,no
22,1.221,0.3866,no
23,1.222,0.3899,no
24,1.223,0.3932,no
25,1.224,0.3966,no
26,1.225,0.4,no
27,1.226,0.4035,no
28,1.227,0.4069,no
29,1.228,0.4104,no
30,1.229,0.4139,no
31,1.23,0.4175,no
32,1.231,0.421,no
33,1.232,0.4246,no
34,1.233,0.4282,no
35,1.234,0.4319,no
36,1.235,0.4356,no
37,1.236,0.4393,no
38,1.237,0.443,no
39,1.238,0.4468,no
40,1.239,0.4506,no
41,1.24,0.4544,no
42,1.241,0.4583,no
43,1.242,0.4621,no
44,1.243,0.466,no
45,1.244,0.47,no
46,1.245,0.474,no
47,1.246,0.478,no
48,1.247,0.482,no
49,1.248,0.486,no
50,1.249,0.4901,no
51,1.25,0.4943,no
52,1.251,0.4984,no
53,1.252,0.5026,no
54,1.253,0.5068,no
55,1.254,0.5111,no
56,1.255,0.5154,no
57,1.256,0.5197,no
58,1.257,0.524,no
59,1.258,0.5284,no
60,1.259,0.5328,no
61,1.26,0.5373,no
62,1.261,0.5417,no
63,1.262,0.5462,no
64,1.263,0.5508,no
65,1.264,0.5554,no
66,1.265,0.56,no
67,1.266,0.5646,no
68,1.267,0.5693,no
69,1.268,0.574,no
70,1.269,0.5788,no
71,1.27,0.5836,no
72,1.271,0.5884,no
73,1.272,0.5933,no
74,1.273,0.5982,no
75,1.274,0.6031,no
76,1.275,0.6081,no
77,1.276,0.6131,no
78,1.277,0.6181,no
79,1.278,0.6232,no
80,1.279,0.6283,no
81,1.28,0.6335,no
82,1.281,0.6387,no
83,1.282,0.6439,no
84,1.283,0.6492,no
85,1.284,0.6545,no
86,1.285,0.6599,no
87,1.286,0.6653,no
88,1.287,0.6707,no
89,1.288,0.6762,no
90,1.289,0.6817,no
91,1.29,0.6872,no
92,1.291,0.6928,no
93,1.292,0.6985,no
94,1.293,0.7041,no
95,1.294,0.7099,no
96,1.295,0.7156,no
97,1.296,0.7214,no
98,1.297,0.7273,no
99,1.298,0.7331,no
100,1.299,0.7391,no
101,1.3,0.745,no
102,1.301,0.7511,no
103,1.302,0.7571,no
104,1.303,0.7632,no
105,1.304,0.7694,no
106,1.305,0.7756,no
107,1.306,0.7818,no
108,1.307,0.7881,no
109,1.308,0.7944,no
110,1.309,0.8008,no
111,1.31,0.8072,no
112,1.311,0.8137,no
113,1.312,0.8202,no
114,1.313,0.8267,no
115,1.314,0.8334,no
116,1.315,0.84,no
117,1.316,0.8467,no
118,1.317,0.8535,no
119,1.318,0.8603,no
120,1.319,0.8671,no
121,1.32,0.874,no
122,1.321,0.881,no
123,1.322,0.888,no
124,1.323,0.895,no
125,1.324,0.9021,no
126,1.325,0.9092,no
127,1.326,0.9164,no
128,1.327,0.9237,no
129,1.328,0.931,no
130,1.329,0.9384,no
131,1.33,0.9458,no
132,1.331,0.9532,no
133,1.332,0.9607,no
134,1.333,0.9683,no
135,1.334,0.9759,no
136,1.335,0.9836,no
137,1.336,0.9913,no
138,1.337,0.9991,no
139,1.338,1.007,no
140,1.339,1.015,no
141,1.34,1.023,no
142,1.341,1.031,no
143,1.342,1.039,no
144,1.343,1.047,no
145,1.344,1.055,no
146,1.345,1.063,no
147,1.346,1.072,no
148,1.347,1.08,no
149,1.348,1.088,no
150,1.349,1.097,no
151,1.35,1.105,no
152,1.351,1.114,no
153,1.352,1.123,no
154,1.353,1.131,no
155,1.354,1.14,no
156,1.355,1.149,no
157,1.356,1.158,no
158,1.357,1.167,no
159,1.358,1.176,no
160,1.359,1.185,no
161,1.36,1.194,no
162,1.361,1.203,no
163,1.362,1.212,no
164,1.363,1.222,no
165,1.364,1.231,no
166,1.365,1.241,no
167,1.366,1.25,no
168,1.367,1.26,no
169,1.368,1.269,no
170,1.369,1.279,no
171,1.37,1.289,no
172,1.371,1.299,no
173,1.372,1.309,no
174,1.373,1.319,no
175,1.374,1.329,no
