index,x-value,pointwise error (4 s.f.),MAE (yes/no)
193,-0.9890594529,1.693,no
194,-0.989184813,1.703,no
195,-0.9893087366,1.714,no
196,-0.9894312403,1.724,no
197,-0.9895523403,1.734,no
198,-0.9896720527,1.745,no
199,-0.9897903934,1.755,no
200,-0.9899073781,1.766,no
201,-0.9900230224,1.776,no
202,-0.9901373415,1.787,no
203,-0.9902503508,1.797,no
204,-0.9903620652,1.807,no
205,-0.9904724995,1.818,no
206,-0.9905816685,1.828,no
207,-0.9906895865,1.839,no
208,-0.990796268,1.849,no
209,-0.9909017271,1.86,no
210,-0.9910059778,1.87,no
211,-0.991109034,1.881,no
212,-0.9912109093,1.891,no
213,-0.9913116174,1.902,no
214,-0.9914111714,1.913,no
215,-0.9915095848,1.923,no
216,-0.9916068705,1.934,no
217,-0.9917030415,1.944,no
218,-0.9917981105,1.955,no
219,-0.9918920902,1.966,no
220,-0.991984993,1.976,no
221,-0.9920768314,1.987,no
222,-0.9921676174,1.997,no
223,-0.9922573632,2.008,no
224,-0.9923460806,2.019,no
225,-0.9924337815,2.029,no
226,-0.9925204775,2.04,no
227,-0.9926061801,2.051,no
228,-0.9926909007,2.062,no
229,-0.9927746505,2.072,no
230,-0.9928574407,2.083,no
231,-0.9929392823,2.094,no
232,-0.9930201861,2.104,no
233,-0.9931001629,2.115,no
234,-0.9931792233,2.126,no
235,-0.9932573778,2.137,no
236,-0.9933346367,2.148,no
237,-0.9934110104,2.158,no
238,-0.9934865091,2.169,no
239,-0.9935611426,2.18,no
240,-0.9936349209,2.191,no
241,-0.9937078539,2.202,no
242,-0.9937799512,2.212,no
243,-0.9938512223,2.223,no
244,-0.9939216769,2.234,no
245,-0.9939913241,2.245,no
246,-0.9940601733,2.256,no
247,-0.9941282336,2.267,no
248,-0.9941955141,2.277,no
249,-0.9942620236,2.288,no
250,-0.994327771,2.299,no
251,-0.9943927651,2.31,no
252,-0.9944570145,2.321,no
253,-0.9945205277,2.332,no
254,-0.9945833131,2.343,no
255,-0.9946453791,2.354,no
256,-0.9947067339,2.365,no
257,-0.9947673858,2.376,no
258,-0.9948273426,2.387,no
259,-0.9948866125,2.397,no
260,-0.9949452032,2.408,no
261,-0.9950031225,2.419,no
262,-0.9950603783,2.43,no
263,-0.9951169779,2.441,no
264,-0.995172929,2.452,no
265,-0.9952282391,2.463,no
266,-0.9952829153,2.474,no
267,-0.9953369651,2.485,no
268,-0.9953903955,2.496,no
269,-0.9954432137,2.507,no
270,-0.9954954267,2.518,no
271,-0.9955470415,2.529,no
272,-0.9955980648,2.54,no
273,-0.9956485035,2.551,no
274,-0.9956983642,2.562,no
275,-0.9957476537,2.573,no
276,-0.9957963783,2.584,no
277,-0.9958445447,2.596,no
278,-0.9958921591,2.607,no
279,-0.995939228,2.618,no
280,-0.9959857575,2.629,no
281,-0.9960317539,2.64,no
282,-0.9960772232,2.651,no
283,-0.9961221716,2.662,no
284,-0.9961666049,2.673,no
285,-0.9962105291,2.684,no
286,-0.99625395,2.695,no
287,-0.9962968733,2.706,no
288,-0.9963393049,2.717,no
289,-0.9963812502,2.729,no
290,-0.9964227149,2.74,no
291,-0.9964637045,2.751,no
292,-0.9965042244,2.762,no
293,-0.9965442801,2.773,no
294,-0.9965838767,2.784,no
295,-0.9966230197,2.795,no
296,-0.9966617141,2.806,no
297,-0.9966999652,2.818,no
298,-0.996737778,2.829,no
299,-0.9967751575,2.84,no
300,-0.9968121087,2.851,no
301,-0.9968486365,2.862,no
302,-0.9968847458,2.873,no
303,-0.9969204413,2.885,no
304,-0.9969557278,2.896,no
305,-0.99699061,2.907,no
306,-0.9970250925,2.918,no
307,-0.9970591798,2.929,no
308,-0.9970928766,2.941,no
309,-0.9971261873,2.952,no
310,-0.9971591163,2.963,no
311,-0.997191668,2.974,no
312,-0.9972238467,2.985,no
313,-0.9972556567,2.997,no
314,-0.9972871022,3.008,no
315,-0.9973181874,3.019,no
316,-0.9973489164,3.03,no
317,-0.9973792933,3.041,no
318,-0.9974093221,3.053,no
319,-0.9974390069,3.064,no
320,-0.9974683515,3.075,no
321,-0.9974973599,3.086,no
322,-0.9975260359,3.098,no
323,-0.9975543833,3.109,no
324,-0.9975824059,3.12,no
325,-0.9976101074,3.131,no
326,-0.9976374915,3.143,no
327,-0.9976645619,3.154,no
328,-0.997691322,3.165,no
329,-0.9977177755,3.176,no
330,-0.9977439259,3.188,no
331,-0.9977697767,3.199,no
332,-0.9977953313,3.21,no
333,-0.997820593,3.221,no
334,-0.9978455653,3.233,no
335,-0.9978702515,3.244,no
336,-0.9978946548,3.255,no
337,-0.9979187784,3.267,no
338,-0.9979426257,3.278,no
339,-0.9979661997,3.289,no
340,-0.9979895036,3.3,no
341,-0.9980125405,3.312,no
342,-0.9980353134,3.323,no
343,-0.9980578253,3.334,no
344,-0.9980800793,3.346,no
345,-0.9981020784,3.357,no
346,-0.9981238253,3.368,no
347,-0.9981453231,3.38,no
348,-0.9981665745,3.391,no
349,-0.9981875825,3.402,no
350,-0.9982083497,3.413,no
351,-0.9982288789,3.425,no
352,-0.998249173,3.436,no
353,-0.9982692345,3.447,no
354,-0.9982890661,3.459,no
355,-0.9983086705,3.47,no
356,-0.9983280502,3.481,no
357,-0.9983472079,3.493,no
358,-0.9983661461,3.504,no
359,-0.9983848673,3.515,no
360,-0.998403374,3.527,no
361,-0.9984216686,3.538,no
362,-0.9984397536,3.549,no
363,-0.9984576314,3.561,no
364,-0.9984753043,3.572,no
365,-0.9984927747,3.584,no
366,-0.9985100449,3.595,no
367,-0.9985271173,3.606,no
368,-0.998543994,3.618,no
369,-0.9985606774,3.629,no
370,-0.9985771695,3.64,no
371,-0.9985934728,3.652,no
372,-0.9986095892,3.663,no
373,-0.9986255209,3.674,no
374,-0.9986412701,3.686,no
375,-0.9986568388,3.697,no
376,-0.9986722292,3.709,no
377,-0.9986874432,3.72,no
378,-0.9987024828,3.731,no
379,-0.9987173502,3.743,no
380,-0.9987320472,3.754,no
381,-0.9987465757,3.765,no
382,-0.9987609378,3.777,no
383,-0.9987751354,3.788,no
384,-0.9987891702,3.8,no
385,-0.9988030443,3.811,no
386,-0.9988167594,3.822,no
387,-0.9988303173,3.834,no
388,-0.9988437199,3.845,no
389,-0.9988569689,3.857,no
390,-0.9988700661,3.868,no
391,-0.9988830132,3.879,no
392,-0.9988958119,3.891,no
393,-0.9989084641,3.902,no
394,-0.9989209712,3.913,no
395,-0.998933335,3.925,no
396,-0.9989455572,3.936,no
397,-0.9989576393,3.948,no
398,-0.998969583,3.959,no
399,-0.9989813898,3.971,no
400,-0.9989930614,3.982,no
401,-0.9990045992,3.993,no
402,-0.9990160048,4.005,no
403,-0.9990272797,4.016,no
404,-0.9990384254,4.028,no
405,-0.9990494434,4.039,no
406,-0.9990603352,4.05,no
407,-0.9990711021,4.062,no
408,-0.9990817457,4.073,no
409,-0.9990922673,4.085,no
410,-0.9991026684,4.096,no
411,-0.9991129503,4.107,no
412,-0.9991231144,4.119,no
413,-0.999133162,4.13,no
414,-0.9991430945,4.142,no
415,-0.9991529132,4.153,no
416,-0.9991626193,4.165,no
417,-0.9991722143,4.176,no
418,-0.9991816993,4.187,no
419,-0.9991910757,4.199,no
420,-0.9992003445,4.21,no
421,-0.9992095072,4.222,no
422,-0.9992185649,4.233,no
423,-0.9992275189,4.245,no
424,-0.9992363702,4.256,no
425,-0.9992451201,4.268,no
426,-0.9992537697,4.279,no
427,-0.9992623202,4.29,no
428,-0.9992707728,4.302,no
429,-0.9992791285,4.313,no
430,-0.9992873885,4.325,no
431,-0.9992955538,4.336,no
432,-0.9993036255,4.348,no
433,-0.9993116048,4.359,no
434,-0.9993194926,4.37,no
435,-0.9993272901,4.382,no
436,-0.9993349982,4.393,no
437,-0.999342618,4.405,no
438,-0.9993501505,4.416,no
439,-0.9993575966,4.428,no
440,-0.9993649575,4.439,no
441,-0.999372234,4.451,no
442,-0.9993794271,4.462,no
443,-0.9993865378,4.474,no
444,-0.9993935671,4.485,no
445,-0.9994005157,4.496,no
446,-0.9994073848,4.508,no
447,-0.9994141752,4.519,no
448,-0.9994208877,4.531,no
449,-0.9994275234,4.542,no
450,-0.999434083,4.554,no
451,-0.9994405674,4.565,no
452,-0.9994469776,4.577,no
453,-0.9994533143,4.588,no
454,-0.9994595784,4.6,no
455,-0.9994657707,4.611,no
456,-0.999471892,4.623,no
457,-0.9994779432,4.634,no
458,-0.9994839251,4.645,no
459,-0.9994898385,4.657,no
460,-0.9994956841,4.668,no
461,-0.9995014627,4.68,no
462,-0.999507175,4.691,no
463,-0.999512822,4.703,no
464,-0.9995184042,4.714,no
465,-0.9995239225,4.726,no
466,-0.9995293775,4.737,no
467,-0.99953477,4.749,no
468,-0.9995401008,4.76,no
469,-0.9995453705,4.772,no
470,-0.9995505797,4.783,no
471,-0.9995557293,4.795,no
472,-0.9995608199,4.806,no
473,-0.9995658522,4.817,no
474,-0.9995708268,4.829,no
475,-0.9995757444,4.84,no
476,-0.9995806056,4.852,no
477,-0.9995854112,4.863,no
478,-0.9995901616,4.875,no
479,-0.9995948577,4.886,no
480,-0.9995994999,4.898,no
481,-0.999604089,4.909,no
482,-0.9996086254,4.921,no
483,-0.9996131099,4.932,no
484,-0.999617543,4.944,no
485,-0.9996219253,4.955,no
486,-0.9996262574,4.967,no
487,-0.9996305399,4.978,no
488,-0.9996347733,4.99,no
489,-0.9996389581,5.001,no
490,-0.9996430951,5.013,no
491,-0.9996471846,5.024,no
492,-0.9996512273,5.036,no
493,-0.9996552236,5.047,no
494,-0.9996591741,5.059,no
495,-0.9996630794,5.07,no
496,-0.99966694,5.082,no
497,-0.9996707563,5.093,no
498,-0.9996745288,5.105,no
499,-0.9996782582,5.116,no
500,-0.9996819448,5.127,no
501,-0.9996855892,5.139,no
502,-0.9996891918,5.15,no
503,-0.9996927531,5.162,no
504,-0.9996962736,5.173,no
505,-0.9996997538,5.185,no
506,-0.9997031941,5.196,no
507,-0.999706595,5.208,no
508,-0.999709957,5.219,no
509,-0.9997132804,5.231,no
510,-0.9997165657,5.242,no
511,-0.9997198133,5.254,no
512,-0.9997230238,5.265,no
513,-0.9997261975,5.277,no
514,-0.9997293348,5.288,no
515,-0.9997324362,5.3,no
516,-0.999735502,5.311,no
517,-0.9997385327,5.323,no
518,-0.9997415286,5.334,no
519,-0.9997444903,5.346,no
520,-0.999747418,5.357,no
521,-0.9997503122,5.369,no
522,-0.9997531732,5.38,no
523,-0.9997560014,5.392,no
524,-0.9997587972,5.403,no
525,-0.999761561,5.415,no
526,-0.9997642931,5.426,no
527,-0.9997669939,5.438,no
528,-0.9997696637,5.449,no
529,-0.999772303,5.461,no
530,-0.999774912,5.472,no
531,-0.9997774911,5.484,no
532,-0.9997800407,5.495,no
533,-0.9997825611,5.507,no
534,-0.9997850525,5.518,no
535,-0.9997875155,5.53,no
536,-0.9997899502,5.541,no
537,-0.999792357,5.553,no
538,-0.9997947362,5.564,no
539,-0.9997970882,5.576,no
540,-0.9997994132,5.587,no
541,-0.9998017116,5.599,no
542,-0.9998039837,5.61,no
543,-0.9998062297,5.622,no
544,-0.9998084499,5.633,no
545,-0.9998106448,5.645,no
546,-0.9998128145,5.656,no
547,-0.9998149593,5.668,no
548,-0.9998170795,5.679,no
549,-0.9998191755,5.691,no
550,-0.9998212474,5.702,no
551,-0.9998232956,5.714,no
552,-0.9998253204,5.725,no
553,-0.9998273219,5.737,no
554,-0.9998293005,5.748,no
555,-0.9998312564,5.76,no
556,-0.9998331899,5.771,no
557,-0.9998351013,5.783,no
558,-0.9998369908,5.794,no
559,-0.9998388586,5.806,no
560,-0.999840705,5.817,no
561,-0.9998425302,5.829,no
562,-0.9998443346,5.84,no
563,-0.9998461182,5.852,no
564,-0.9998478814,5.863,no
565,-0.9998496245,5.875,no
566,-0.9998513475,5.886,no
567,-0.9998530508,5.898,no
568,-0.9998547346,5.909,no
569,-0.9998563991,5.921,no
570,-0.9998580445,5.932,no
571,-0.9998596711,5.944,no
572,-0.999861279,5.955,no
573,-0.9998628685,5.967,no
574,-0.9998644398,5.978,no
575,-0.9998659931,5.99,no
576,-0.9998675286,6.001,no
577,-0.9998690465,6.013,no
578,-0.999870547,6.025,no
579,-0.9998720303,6.036,no
580,-0.9998734966,6.048,no
581,-0.9998749461,6.059,no
582,-0.999876379,6.071,no
583,-0.9998777955,6.082,no
584,-0.9998791958,6.094,no
585,-0.99988058,6.105,no
586,-0.9998819483,6.117,no
587,-0.999883301,6.128,no
588,-0.9998846382,6.14,no
589,-0.99988596,6.151,no
590,-0.9998872667,6.163,no
591,-0.9998885585,6.174,no
592,-0.9998898354,6.186,no
593,-0.9998910977,6.197,no
594,-0.9998923455,6.209,no
595,-0.9998935791,6.22,no
596,-0.9998947985,6.232,no
597,-0.9998960039,6.243,no
598,-0.9998971955,6.255,no
599,-0.9998983735,6.266,no
600,-0.999899538,6.278,no
601,-0.9999006891,6.289,no
602,-0.999901827,6.301,no
603,-0.9999029519,6.312,no
604,-0.9999040639,6.324,no
605,-0.9999051632,6.335,no
606,-0.9999062498,6.347,no
607,-0.9999073241,6.358,no
608,-0.999908386,6.37,no
609,-0.9999094357,6.381,no
610,-0.9999104734,6.393,no
611,-0.9999114993,6.404,no
612,-0.9999125133,6.416,no
613,-0.9999135158,6.427,no
614,-0.9999145067,6.439,no
615,-0.9999154863,6.45,no
616,-0.9999164547,6.462,no
617,-0.999917412,6.474,no
618,-0.9999183583,6.485,no
619,-0.9999192938,6.497,no
620,-0.9999202186,6.508,no
621,-0.9999211327,6.52,no
622,-0.9999220364,6.531,no
623,-0.9999229297,6.543,no
624,-0.9999238128,6.554,no
625,-0.9999246858,6.566,no
626,-0.9999255488,6.577,no
627,-0.9999264019,6.589,no
628,-0.9999272452,6.6,no
629,-0.9999280788,6.612,no
630,-0.9999289029,6.623,no
631,-0.9999297176,6.635,no
632,-0.9999305229,6.646,no
