index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,-0.9,0.3839,no
2,-0.9011458298,0.39,no
3,-0.9022785303,0.3962,no
4,-0.903398252,0.4025,no
5,-0.9045051436,0.4088,no
6,-0.9055993521,0.4151,no
7,-0.9066810228,0.4215,no
8,-0.9077502995,0.4279,no
9,-0.908807324,0.4344,no
10,-0.9098522369,0.4409,no
11,-0.9108851768,0.4474,no
12,-0.911906281,0.4541,no
13,-0.912915685,0.4607,no
14,-0.913913523,0.4674,no
15,-0.9148999275,0.4741,no
16,-0.9158750295,0.4809,no
17,-0.9168389585,0.4877,no
18,-0.9177918424,0.4946,no
19,-0.918733808,0.5015,no
20,-0.9196649802,0.5085,no
21,-0.9205854828,0.5155,no
22,-0.921495438,0.5225,no
23,-0.9223949666,0.5296,no
24,-0.9232841882,0.5367,no
25,-0.9241632209,0.5438,no
26,-0.9250321813,0.551,no
27,-0.9258911848,0.5583,no
28,-0.9267403457,0.5656,no
29,-0.9275797767,0.5729,no
30,-0.9284095891,0.5802,no
31,-0.9292298934,0.5876,no
32,-0.9300407983,0.5951,no
33,-0.9308424117,0.6026,no
34,-0.93163484,0.6101,no
35,-0.9324181883,0.6176,no
36,-0.9331925608,0.6252,no
37,-0.9339580604,0.6329,no
38,-0.9347147886,0.6405,no
39,-0.935462846,0.6482,no
40,-0.9362023319,0.656,no
41,-0.9369333446,0.6637,no
42,-0.9376559811,0.6716,no
43,-0.9383703374,0.6794,no
44,-0.9390765085,0.6873,no
45,-0.939774588,0.6952,no
46,-0.9404646687,0.7032,no
47,-0.9411468422,0.7112,no
48,-0.9418211993,0.7192,no
49,-0.9424878293,0.7273,no
50,-0.9431468209,0.7353,no
51,-0.9437982615,0.7435,no
52,-0.9444422378,0.7516,no
53,-0.9450788352,0.7598,no
54,-0.9457081382,0.7681,no
55,-0.9463302305,0.7763,no
56,-0.9469451947,0.7846,no
57,-0.9475531125,0.7929,no
58,-0.9481540646,0.8013,no
59,-0.9487481307,0.8097,no
60,-0.9493353899,0.8181,no
61,-0.9499159201,0.8266,no
62,-0.9504897984,0.835,no
63,-0.951057101,0.8436,no
64,-0.9516179034,0.8521,no
65,-0.9521722798,0.8607,no
66,-0.9527203041,0.8693,no
67,-0.9532620489,0.8779,no
68,-0.9537975863,0.8866,no
69,-0.9543269873,0.8953,no
70,-0.9548503223,0.904,no
71,-0.9553676607,0.9127,no
72,-0.9558790714,0.9215,no
73,-0.9563846221,0.9303,no
74,-0.9568843801,0.9391,no
75,-0.9573784117,0.948,no
76,-0.9578667826,0.9569,no
77,-0.9583495575,0.9658,no
78,-0.9588268007,0.9747,no
79,-0.9592985755,0.9837,no
80,-0.9597649445,0.9927,no
81,-0.9602259698,1.002,no
82,-0.9606817124,1.011,no
83,-0.9611322331,1.02,no
84,-0.9615775915,1.029,no
85,-0.9620178469,1.038,no
86,-0.9624530578,1.047,no
87,-0.9628832818,1.056,no
88,-0.9633085762,1.066,no
89,-0.9637289975,1.075,no
90,-0.9641446014,1.084,no
91,-0.9645554433,1.093,no
92,-0.9649615775,1.103,no
93,-0.9653630582,1.112,no
94,-0.9657599386,1.121,no
95,-0.9661522714,1.131,no
96,-0.9665401088,1.14,no
97,-0.9669235022,1.149,no
98,-0.9673025026,1.159,no
99,-0.9676771602,1.168,no
100,-0.9680475249,1.178,no
101,-0.9684136459,1.187,no
102,-0.9687755718,1.197,no
103,-0.9691333506,1.206,no
104,-0.9694870298,1.216,no
105,-0.9698366565,1.225,no
106,-0.9701822771,1.235,no
107,-0.9705239374,1.245,no
108,-0.970861683,1.254,no
109,-0.9711955585,1.264,no
110,-0.9715256083,1.274,no
111,-0.9718518764,1.283,no
112,-0.972174406,1.293,no
113,-0.9724932399,1.303,no
114,-0.9728084206,1.313,no
