index,x,d,err_taylor,err_pade,log_err_taylor,log_err_pade
1,-0.9,0.1,0.3839,0.05598,-0.9574028909,-2.882843879
2,-0.9011458298,0.0988541702,0.39,0.05754,-0.9415145819,-2.8553437245
3,-0.9022785303,0.0977214697,0.3962,0.05913,-0.9257566175,-2.8280454141
4,-0.903398252,0.096601748,0.4025,0.06075,-0.910127409,-2.8009470768
5,-0.9045051436,0.0954948564,0.4088,0.06241,-0.8946253932,-2.7740468659
6,-0.9055993521,0.0944006479,0.4151,0.0641,-0.8792490314,-2.7473429584
7,-0.9066810228,0.0933189772,0.4215,0.06582,-0.8639968089,-2.7208335549
8,-0.9077502995,0.0922497005,0.4279,0.06758,-0.8488672349,-2.6945168784
9,-0.908807324,0.091192676,0.4344,0.06936,-0.8338588416,-2.6683911745
10,-0.9098522369,0.0901477631,0.4409,0.07119,-0.8189701843,-2.6424547109
11,-0.9108851768,0.0891148232,0.4474,0.07304,-0.8041998402,-2.6167057766
12,-0.911906281,0.088093719,0.4541,0.07493,-0.7895464087,-2.5911426818
13,-0.912915685,0.087084315,0.4607,0.07686,-0.7750085105,-2.5657637573
14,-0.913913523,0.086086477,0.4674,0.07882,-0.7605847874,-2.5405673543
15,-0.9148999275,0.0851000725,0.4741,0.08082,-0.7462739019,-2.5155518439
16,-0.9158750295,0.0841249705,0.4809,0.08285,-0.7320745368,-2.4907156169
17,-0.9168389585,0.0831610415,0.4877,0.08492,-0.7179853946,-2.4660570829
18,-0.9177918424,0.0822081576,0.4946,0.08702,-0.7040051974,-2.4415746707
19,-0.918733808,0.081266192,0.5015,0.08916,-0.6901326866,-2.4172668273
20,-0.9196649802,0.0803350198,0.5085,0.09134,-0.6763666221,-2.3931320181
21,-0.9205854828,0.0794145172,0.5155,0.09356,-0.6627057825,-2.369168726
22,-0.921495438,0.078504562,0.5225,0.09581,-0.6491489643,-2.3453754516
23,-0.9223949666,0.0776050334,0.5296,0.0981,-0.6356949818,-2.3217507127
24,-0.9232841882,0.0767158118,0.5367,0.1004,-0.6223426669,-2.2982930437
25,-0.9241632209,0.0758367791,0.5438,0.1028,-0.6090908683,-2.2750009958
26,-0.9250321813,0.0749678187,0.551,0.1052,-0.5959384518,-2.2518731363
27,-0.9258911848,0.0741088152,0.5583,0.1076,-0.5828842995,-2.2289080486
28,-0.9267403457,0.0732596543,0.5656,0.1101,-0.5699273099,-2.2061043317
29,-0.9275797767,0.0724202233,0.5729,0.1127,-0.5570663972,-2.1834606002
30,-0.9284095891,0.0715904109,0.5802,0.1152,-0.5443004914,-2.1609754837
31,-0.9292298934,0.0707701066,0.5876,0.1178,-0.5316285377,-2.1386476266
32,-0.9300407983,0.0699592017,0.5951,0.1205,-0.5190494965,-2.1164756883
33,-0.9308424117,0.0691575883,0.6026,0.1231,-0.5065623429,-2.0944583423
34,-0.93163484,0.06836516,0.6101,0.1259,-0.4941660666,-2.0725942765
35,-0.9324181883,0.0675818117,0.6176,0.1286,-0.4818596716,-2.0508821924
36,-0.9331925608,0.0668074392,0.6252,0.1314,-0.4696421759,-2.0293208055
37,-0.9339580604,0.0660419396,0.6329,0.1343,-0.4575126114,-2.0079088447
38,-0.9347147886,0.0652852114,0.6405,0.1372,-0.4454700233,-1.9866450521
39,-0.935462846,0.064537154,0.6482,0.1401,-0.4335134705,-1.965528183
40,-0.9362023319,0.0637976681,0.656,0.1431,-0.4216420246,-1.9445570052
41,-0.9369333446,0.0630666554,0.6637,0.1461,-0.4098547704,-1.9237302995
