index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,-0.8,0.02013,yes
2,-0.799,0.01997,no
3,-0.798,0.01981,no
4,-0.797,0.01965,no
5,-0.796,0.0195,no
6,-0.795,0.01934,no
7,-0.794,0.01919,no
8,-0.793,0.01903,no
9,-0.792,0.01888,no
10,-0.791,0.01873,no
11,-0.79,0.01858,no
12,-0.789,0.01843,no
13,-0.788,0.01828,no
14,-0.787,0.01814,no
15,-0.786,0.01799,no
16,-0.785,0.01785,no
17,-0.784,0.0177,no
18,-0.783,0.01756,no
19,-0.782,0.01742,no
20,-0.781,0.01727,no
21,-0.78,0.01713,no
22,-0.779,0.01699,no
23,-0.778,0.01686,no
24,-0.777,0.01672,no
25,-0.776,0.01658,no
26,-0.775,0.01644,no
27,-0.774,0.01631,no
28,-0.773,0.01618,no
29,-0.772,0.01604,no
30,-0.771,0.01591,no
31,-0.77,0.01578,no
32,-0.769,0.01565,no
33,-0.768,0.01552,no
34,-0.767,0.01539,no
35,-0.766,0.01526,no
36,-0.765,0.01514,no
37,-0.764,0.01501,no
38,-0.763,0.01488,no
39,-0.762,0.01476,no
40,-0.761,0.01464,no
41,-0.76,0.01451,no
42,-0.759,0.01439,no
43,-0.758,0.01427,no
44,-0.757,0.01415,no
45,-0.756,0.01403,no
46,-0.755,0.01391,no
47,-0.754,0.0138,no
48,-0.753,0.01368,no
49,-0.752,0.01356,no
50,-0.751,0.01345,no
51,-0.75,0.01333,no
52,-0.749,0.01322,no
53,-0.748,0.01311,no
54,-0.747,0.013,no
55,-0.746,0.01289,no
56,-0.745,0.01278,no
57,-0.744,0.01267,no
58,-0.743,0.01256,no
59,-0.742,0.01245,no
60,-0.741,0.01234,no
61,-0.74,0.01224,no
62,-0.739,0.01213,no
63,-0.738,0.01202,no
64,-0.737,0.01192,no
65,-0.736,0.01182,no
66,-0.735,0.01171,no
67,-0.734,0.01161,no
68,-0.733,0.01151,no
69,-0.732,0.01141,no
70,-0.731,0.01131,no
71,-0.73,0.01121,no
72,-0.729,0.01111,no
73,-0.728,0.01102,no
74,-0.727,0.01092,no
75,-0.726,0.01082,no
76,-0.725,0.01073,no
77,-0.724,0.01063,no
78,-0.723,0.01054,no
79,-0.722,0.01044,no
80,-0.721,0.01035,no
81,-0.72,0.01026,no
82,-0.719,0.01017,no
83,-0.718,0.01008,no
84,-0.717,0.009987,no
85,-0.716,0.009898,no
86,-0.715,0.009809,no
87,-0.714,0.009721,no
88,-0.713,0.009633,no
89,-0.712,0.009547,no
90,-0.711,0.009461,no
91,-0.71,0.009375,no
92,-0.709,0.00929,no
93,-0.708,0.009206,no
94,-0.707,0.009122,no
95,-0.706,0.009039,no
96,-0.705,0.008957,no
97,-0.704,0.008875,no
98,-0.703,0.008794,no
99,-0.702,0.008714,no
100,-0.701,0.008634,no
101,-0.7,0.008555,no
102,-0.699,0.008476,no
103,-0.698,0.008398,no
104,-0.697,0.008321,no
105,-0.696,0.008244,no
106,-0.695,0.008167,no
107,-0.694,0.008092,no
108,-0.693,0.008017,no
109,-0.692,0.007942,no
110,-0.691,0.007868,no
111,-0.69,0.007795,no
112,-0.689,0.007722,no
113,-0.688,0.00765,no
114,-0.687,0.007578,no
115,-0.686,0.007507,no
116,-0.685,0.007436,no
117,-0.684,0.007366,no
118,-0.683,0.007297,no
119,-0.682,0.007228,no
120,-0.681,0.007159,no
121,-0.68,0.007091,no
122,-0.679,0.007024,no
123,-0.678,0.006957,no
124,-0.677,0.006891,no
125,-0.676,0.006825,no
126,-0.675,0.00676,no
127,-0.674,0.006695,no
128,-0.673,0.006631,no
129,-0.672,0.006567,no
130,-0.671,0.006504,no
131,-0.67,0.006441,no
132,-0.669,0.006379,no
133,-0.668,0.006318,no
134,-0.667,0.006256,no
135,-0.666,0.006196,no
136,-0.665,0.006135,no
137,-0.664,0.006076,no
138,-0.663,0.006016,no
139,-0.662,0.005958,no
140,-0.661,0.005899,no
141,-0.66,0.005842,no
142,-0.659,0.005784,no
143,-0.658,0.005727,no
144,-0.657,0.005671,no
145,-0.656,0.005615,no
146,-0.655,0.00556,no
147,-0.654,0.005505,no
148,-0.653,0.00545,no
149,-0.652,0.005396,no
150,-0.651,0.005342,no
151,-0.65,0.005289,no
152,-0.649,0.005236,no
153,-0.648,0.005184,no
154,-0.647,0.005132,no
155,-0.646,0.00508,no
156,-0.645,0.005029,no
157,-0.644,0.004979,no
158,-0.643,0.004928,no
159,-0.642,0.004879,no
160,-0.641,0.004829,no
161,-0.64,0.00478,no
162,-0.639,0.004732,no
163,-0.638,0.004684,no
164,-0.637,0.004636,no
165,-0.636,0.004589,no
166,-0.635,0.004542,no
167,-0.634,0.004495,no
168,-0.633,0.004449,no
169,-0.632,0.004403,no
