index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,1.2,0.307,no
2,1.201,0.3096,no
3,1.202,0.3121,no
4,1.203,0.3147,no
5,1.204,0.3173,no
6,1.205,0.32,no
7,1.206,0.3226,no
8,1.207,0.3253,no
9,1.208,0.3279,no
10,1.209,0.3306,no
11,1.21,0.3334,no
12,1.211,0.3361,no
13,1.212,0.3389,no
14,1.213,0.3416,no
15,1.214,0.3444,no
16,1.215,0.3473,no
17,1.216,0.3501,no
18,1.217,0.353,no
19,1.218,0.3558,no
20,1.219,0.3588,no
21,1.22,0.3617,no
22,1.221,0.3646,no
23,1.222,0.3676,no
24,1.223,0.3706,no
25,1.224,0.3736,no
26,1.225,0.3766,no
27,1.226,0.3797,no
28,1.227,0.3828,no
29,1.228,0.3859,no
30,1.229,0.389,no
31,1.23,0.3921,no
32,1.231,0.3953,no
33,1.232,0.3985,no
34,1.233,0.4017,no
35,1.234,0.4049,no
36,1.235,0.4082,no
37,1.236,0.4115,no
38,1.237,0.4148,no
39,1.238,0.4181,no
40,1.239,0.4214,no
41,1.24,0.4248,no
42,1.241,0.4282,no
43,1.242,0.4316,no
44,1.243,0.4351,no
45,1.244,0.4385,no
46,1.245,0.442,no
47,1.246,0.4456,no
48,1.247,0.4491,no
49,1.248,0.4527,no
50,1.249,0.4563,no
51,1.25,0.4599,no
52,1.251,0.4635,no
53,1.252,0.4672,no
54,1.253,0.4709,no
55,1.254,0.4746,no
56,1.255,0.4784,no
57,1.256,0.4822,no
58,1.257,0.486,no
59,1.258,0.4898,no
60,1.259,0.4937,no
61,1.26,0.4975,no
62,1.261,0.5015,no
63,1.262,0.5054,no
64,1.263,0.5094,no
65,1.264,0.5134,no
66,1.265,0.5174,no
67,1.266,0.5214,no
68,1.267,0.5255,no
69,1.268,0.5296,no
70,1.269,0.5337,no
71,1.27,0.5379,no
72,1.271,0.5421,no
73,1.272,0.5463,no
74,1.273,0.5506,no
75,1.274,0.5549,no
76,1.275,0.5592,no
77,1.276,0.5635,no
78,1.277,0.5679,no
79,1.278,0.5723,no
80,1.279,0.5767,no
81,1.28,0.5812,no
82,1.281,0.5856,no
83,1.282,0.5902,no
84,1.283,0.5947,no
85,1.284,0.5993,no
86,1.285,0.6039,no
87,1.286,0.6086,no
88,1.287,0.6132,no
89,1.288,0.6179,no
90,1.289,0.6227,no
91,1.29,0.6275,no
92,1.291,0.6323,no
93,1.292,0.6371,no
94,1.293,0.642,no
95,1.294,0.6469,no
96,1.295,0.6518,no
97,1.296,0.6568,no
98,1.297,0.6618,no
99,1.298,0.6668,no
100,1.299,0.6719,no
101,1.3,0.677,no
102,1.301,0.6822,no
103,1.302,0.6873,no
104,1.303,0.6926,no
105,1.304,0.6978,no
106,1.305,0.7031,no
107,1.306,0.7084,no
108,1.307,0.7138,no
109,1.308,0.7191,no
110,1.309,0.7246,no
111,1.31,0.73,no
112,1.311,0.7355,no
113,1.312,0.7411,no
114,1.313,0.7466,no
115,1.314,0.7522,no
116,1.315,0.7579,no
117,1.316,0.7636,no
118,1.317,0.7693,no
119,1.318,0.7751,no
120,1.319,0.7809,no
121,1.32,0.7867,no
122,1.321,0.7926,no
123,1.322,0.7985,no
124,1.323,0.8044,no
125,1.324,0.8104,no
126,1.325,0.8165,no
127,1.326,0.8225,no
128,1.327,0.8286,no
129,1.328,0.8348,no
130,1.329,0.841,no
131,1.33,0.8472,no
132,1.331,0.8535,no
133,1.332,0.8598,no
