index,x,d,err_taylor,err_pade,log_err_taylor,log_err_pade
979,1.5707943259,0.0000020009,4.998e+05,4.26e+05,13.1219010295,12.9622130371
980,1.5707943488,0.000001978,5.056e+05,4.317e+05,13.1334256326,12.9754302054
981,1.5707943715,0.0000019553,5.114e+05,4.374e+05,13.144950234,12.9886307985
982,1.5707943939,0.0000019329,5.173e+05,4.432e+05,13.1564748337,13.0018149514
983,1.570794416,0.0000019108,5.233e+05,4.491e+05,13.1679994316,13.0149827982
984,1.5707944379,0.0000018889,5.294e+05,4.55e+05,13.1795240279,13.028134473
985,1.5707944596,0.0000018672,5.355e+05,4.611e+05,13.1910486225,13.0412701088
986,1.570794481,0.0000018458,5.418e+05,4.671e+05,13.2025732155,13.0543898382
987,1.5707945021,0.0000018247,5.48e+05,4.733e+05,13.2140978067,13.0674937933
988,1.570794523,0.0000018038,5.544e+05,4.795e+05,13.2256223964,13.0805821054
989,1.5707945437,0.0000017831,5.608e+05,4.858e+05,13.2371469845,13.0936549055
990,1.5707945641,0.0000017627,5.673e+05,4.922e+05,13.248671571,13.1067123237
991,1.5707945843,0.0000017425,5.739e+05,4.987e+05,13.2601961559,13.1197544895
992,1.5707946043,0.0000017225,5.805e+05,5.052e+05,13.2717207393,13.1327815319
993,1.570794624,0.0000017028,5.873e+05,5.119e+05,13.2832453211,13.1457935793
994,1.5707946435,0.0000016833,5.941e+05,5.185e+05,13.2947699014,13.158790759
995,1.5707946628,0.000001664,6.01e+05,5.253e+05,13.3062944803,13.1717731985
996,1.5707946819,0.0000016449,6.079e+05,5.322e+05,13.3178190577,13.1847410239
997,1.5707947007,0.0000016261,6.15e+05,5.391e+05,13.3293436335,13.1976943607
998,1.5707947194,0.0000016074,6.221e+05,5.461e+05,13.3408682079,13.2106333343
999,1.5707947378,0.000001589,6.293e+05,5.532e+05,13.352392781,13.2235580689
1000,1.570794756,0.0000015708,6.366e+05,5.604e+05,13.3639173526,13.2364686882
