index,x-value,pointwise error (4 s.f.),MAE (yes/no)
1,1.8849555922,10.37,no
2,1.8859555922,10.37,no
3,1.8869555922,10.37,no
4,1.8879555922,10.38,no
5,1.8889555922,10.38,no
6,1.8899555922,10.38,no
7,1.8909555922,10.38,no
8,1.8919555922,10.39,no
9,1.8929555922,10.39,no
10,1.8939555922,10.39,no
11,1.8949555922,10.4,no
12,1.8959555922,10.4,no
13,1.8969555922,10.4,no
14,1.8979555922,10.41,no
15,1.8989555922,10.41,no
16,1.8999555922,10.41,no
17,1.9009555922,10.42,no
18,1.9019555922,10.42,no
19,1.9029555922,10.43,no
20,1.9039555922,10.43,no
21,1.9049555922,10.43,no
22,1.9059555922,10.44,no
23,1.9069555922,10.44,no
24,1.9079555922,10.45,no
25,1.9089555922,10.45,no
26,1.9099555922,10.46,no
27,1.9109555922,10.46,no
28,1.9119555922,10.46,no
29,1.9129555922,10.47,no
30,1.9139555922,10.47,no
31,1.9149555922,10.48,no
32,1.9159555922,10.48,no
33,1.9169555922,10.49,no
34,1.9179555922,10.49,no
35,1.9189555922,10.5,no
36,1.9199555922,10.5,no
37,1.9209555922,10.51,no
38,1.9219555922,10.51,no
39,1.9229555922,10.52,no
40,1.9239555922,10.53,no
41,1.9249555922,10.53,no
42,1.9259555922,10.54,no
43,1.9269555922,10.54,no
44,1.9279555922,10.55,no
45,1.9289555922,10.55,no
46,1.9299555922,10.56,no
47,1.9309555922,10.57,no
48,1.9319555922,10.57,no
49,1.9329555922,10.58,no
50,1.9339555922,10.58,no
51,1.9349555922,10.59,no
52,1.9359555922,10.6,no
53,1.9369555922,10.6,no
54,1.9379555922,10.61,no
55,1.9389555922,10.62,no
56,1.9399555922,10.62,no
57,1.9409555922,10.63,no
58,1.9419555922,10.63,no
59,1.9429555922,10.64,no
60,1.9439555922,10.65,no
61,1.9449555922,10.66,no
62,1.9459555922,10.66,no
63,1.9469555922,10.67,no
64,1.9479555922,10.68,no
65,1.9489555922,10.68,no
66,1.9499555922,10.69,no
67,1.9509555922,10.7,no
68,1.9519555922,10.7,no
69,1.9529555922,10.71,no
70,1.9539555922,10.72,no
71,1.9549555922,10.73,no
72,1.9559555922,10.73,no
73,1.9569555922,10.74,no
74,1.9579555922,10.75,no
75,1.9589555922,10.76,no
76,1.9599555922,10.76,no
77,1.9609555922,10.77,no
78,1.9619555922,10.78,no
79,1.9629555922,10.79,no
80,1.9639555922,10.8,no
81,1.9649555922,10.8,no
82,1.9659555922,10.81,no
83,1.9669555922,10.82,no
84,1.9679555922,10.83,no
85,1.9689555922,10.84,no
86,1.9699555922,10.84,no
87,1.9709555922,10.85,no
88,1.9719555922,10.86,no
89,1.9729555922,10.87,no
90,1.9739555922,10.88,no
91,1.9749555922,10.89,no
92,1.9759555922,10.9,no
93,1.9769555922,10.9,no
94,1.9779555922,10.91,no
95,1.9789555922,10.92,no
96,1.9799555922,10.93,no
97,1.9809555922,10.94,no
98,1.9819555922,10.95,no
99,1.9829555922,10.96,no
100,1.9839555922,10.97,no
101,1.9849555922,10.98,no
102,1.9859555922,10.98,no
103,1.9869555922,10.99,no
104,1.9879555922,11,no
105,1.9889555922,11.01,no
106,1.9899555922,11.02,no
107,1.9909555922,11.03,no
108,1.9919555922,11.04,no
109,1.9929555922,11.05,no
110,1.9939555922,11.06,no
111,1.9949555922,11.07,no
112,1.9959555922,11.08,no
113,1.9969555922,11.09,no
114,1.9979555922,11.1,no
115,1.9989555922,11.11,no
116,1.9999555922,11.12,no
117,2.0009555922,11.13,no
118,2.0019555922,11.14,no
119,2.0029555922,11.15,no
120,2.0039555922,11.16,no
121,2.0049555922,11.17,no
122,2.0059555922,11.18,no
123,2.0069555922,11.19,no
124,2.0079555922,11.2,no
125,2.0089555922,11.21,no
126,2.0099555922,11.22,no
127,2.0109555922,11.23,no
128,2.0119555922,11.24,no
129,2.0129555922,11.25,no
130,2.0139555922,11.26,no
131,2.0149555922,11.27,no
132,2.0159555922,11.28,no
133,2.0169555922,11.29,no
134,2.0179555922,11.3,no
135,2.0189555922,11.31,no
136,2.0199555922,11.33,no
137,2.0209555922,11.34,no
138,2.0219555922,11.35,no
139,2.0229555922,11.36,no
140,2.0239555922,11.37,no
141,2.0249555922,11.38,no
142,2.0259555922,11.39,no
143,2.0269555922,11.4,no
144,2.0279555922,11.41,no
145,2.0289555922,11.43,no
146,2.0299555922,11.44,no
147,2.0309555922,11.45,no
148,2.0319555922,11.46,no
149,2.0329555922,11.47,no
150,2.0339555922,11.48,no
151,2.0349555922,11.49,no
152,2.0359555922,11.51,no
153,2.0369555922,11.52,no
154,2.0379555922,11.53,no
155,2.0389555922,11.54,no
156,2.0399555922,11.55,no
157,2.0409555922,11.56,no
158,2.0419555922,11.58,no
159,2.0429555922,11.59,no
160,2.0439555922,11.6,no
161,2.0449555922,11.61,no
162,2.0459555922,11.62,no
163,2.0469555922,11.64,no
164,2.0479555922,11.65,no
165,2.0489555922,11.66,no
166,2.0499555922,11.67,no
167,2.0509555922,11.69,no
168,2.0519555922,11.7,no
169,2.0529555922,11.71,no
170,2.0539555922,11.72,no
171,2.0549555922,11.73,no
172,2.0559555922,11.75,no
173,2.0569555922,11.76,no
174,2.0579555922,11.77,no
175,2.0589555922,11.79,no
176,2.0599555922,11.8,no
177,2.0609555922,11.81,no
178,2.0619555922,11.82,no
179,2.0629555922,11.84,no
180,2.0639555922,11.85,no
181,2.0649555922,11.86,no
182,2.0659555922,11.88,no
183,2.0669555922,11.89,no
184,2.0679555922,11.9,no
185,2.0689555922,11.91,no
186,2.0699555922,11.93,no
187,2.0709555922,11.94,no
188,2.0719555922,11.95,no
189,2.0729555922,11.97,no
190,2.0739555922,11.98,no
191,2.0749555922,11.99,no
192,2.0759555922,12.01,no
193,2.0769555922,12.02,no
194,2.0779555922,12.03,no
195,2.0789555922,12.05,no
196,2.0799555922,12.06,no
197,2.0809555922,12.07,no
198,2.0819555922,12.09,no
