index,x-value,pointwise error (4 s.f.),MAE (yes/no)
186,1.5521671377,49.67,no
187,1.5523805965,50.29,no
188,1.5525916094,50.92,no
189,1.5528002045,51.56,no
190,1.5530064094,52.2,no
191,1.5532102516,52.85,no
192,1.5534117581,53.51,no
193,1.5536109556,54.17,no
194,1.5538078707,54.85,no
195,1.5540025295,55.53,no
196,1.5541949579,56.22,no
197,1.5543851813,56.91,no
198,1.5545732251,57.62,no
199,1.5547591142,58.33,no
200,1.5549428734,59.05,no
201,1.555124527,59.78,no
202,1.5553040991,60.52,no
203,1.5554816137,61.27,no
204,1.5556570942,62.02,no
205,1.555830564,62.79,no
206,1.5560020462,63.56,no
207,1.5561715635,64.34,no
208,1.5563391384,65.13,no
209,1.5565047932,65.94,no
210,1.5566685498,66.75,no
211,1.5568304301,67.56,no
212,1.5569904555,68.39,no
213,1.5571486473,69.23,no
214,1.5573050264,70.08,no
215,1.5574596138,70.94,no
216,1.5576124298,71.81,no
217,1.5577634948,72.68,no
218,1.5579128289,73.57,no
219,1.5580604519,74.47,no
220,1.5582063833,75.38,no
221,1.5583506426,76.3,no
222,1.558493249,77.23,no
223,1.5586342213,78.17,no
224,1.5587735783,79.12,no
225,1.5589113386,80.09,no
226,1.5590475203,81.06,no
227,1.5591821416,82.05,no
228,1.5593152204,83.04,no
229,1.5594467744,84.05,no
230,1.5595768209,85.07,no
231,1.5597053773,86.1,no
232,1.5598324607,87.15,no
233,1.559958088,88.21,no
234,1.5600822758,89.27,no
235,1.5602050405,90.35,no
236,1.5603263987,91.45,no
237,1.5604463662,92.55,no
238,1.5605649591,93.67,no
239,1.5606821932,94.81,no
240,1.560798084,95.95,no
241,1.5609126468,97.11,no
242,1.5610258969,98.28,no
243,1.5611378494,99.47,no
244,1.5612485192,100.7,no
245,1.5613579208,101.9,no
246,1.5614660688,103.1,no
247,1.5615729777,104.3,no
248,1.5616786616,105.6,no
249,1.5617831345,106.9,no
250,1.5618864104,108.2,no
251,1.5619885028,109.5,no
252,1.5620894255,110.8,no
253,1.5621891918,112.1,no
254,1.5622878149,113.5,no
255,1.562385308,114.8,no
256,1.5624816839,116.2,no
257,1.5625769556,117.6,no
258,1.5626711356,119,no
259,1.5627642364,120.4,no
260,1.5628562705,121.9,no
261,1.56294725,123.3,no
262,1.5630371871,124.8,no
263,1.5631260936,126.3,no
264,1.5632139815,127.8,no
265,1.5633008622,129.3,no
266,1.5633867475,130.9,no
267,1.5634716487,132.4,no
268,1.563555577,134,no
269,1.5636385437,135.6,no
270,1.5637205597,137.2,no
271,1.5638016359,138.9,no
272,1.5638817832,140.5,no
273,1.5639610121,142.2,no
274,1.5640393331,143.9,no
275,1.5641167568,145.6,no
276,1.5641932933,147.4,no
277,1.5642689528,149.1,no
278,1.5643437454,150.9,no
279,1.564417681,152.7,no
280,1.5644907694,154.5,no
281,1.5645630204,156.3,no
282,1.5646344435,158.2,no
283,1.5647050482,160.1,no
284,1.5647748438,162,no
285,1.5648438398,163.9,no
286,1.5649120452,165.8,no
287,1.564979469,167.8,no
288,1.5650461203,169.8,no
289,1.5651120079,171.8,no
290,1.5651771405,173.9,no
291,1.5652415268,175.9,no
292,1.5653051754,178,no
