index,x,d,err_taylor,err_pade,log_err_taylor,log_err_pade
71,1.5006880122,0.0701083146,10.6,1.38,2.3606846849,0.3222903167
72,1.5014913342,0.0693049926,10.76,1.415,2.3756935747,0.3471798649
73,1.5022854514,0.0685108754,10.92,1.451,2.3906606365,0.3720144874
74,1.5030704694,0.0677258574,11.08,1.487,2.4055863948,0.3967945556
75,1.5038464925,0.0669498343,11.25,1.524,2.4204713672,0.4215204334
76,1.5046136236,0.0661827032,11.42,1.562,2.4353160642,0.4461924774
77,1.5053719647,0.0654243621,11.59,1.601,2.4501209893,0.470811037
78,1.5061216166,0.0646747102,11.76,1.641,2.4648866393,0.4953764546
79,1.5068626786,0.0639336482,11.94,1.682,2.4796135045,0.5198890657
80,1.5075952494,0.0632010774,12.11,1.723,2.4943020683,0.5443491987
81,1.5083194262,0.0624769006,12.29,1.766,2.5089528077,0.5687571755
82,1.5090353051,0.0617610217,12.47,1.81,2.5235661935,0.5931133112
83,1.5097429813,0.0610533455,12.66,1.854,2.5381426899,0.6174179143
84,1.5104425487,0.0603537781,12.84,1.9,2.5526827551,0.6416712871
85,1.5111341003,0.0596622265,13.03,1.946,2.5671868412,0.6658737251
86,1.5118177278,0.058978599,13.22,1.994,2.5816553943,0.690025518
87,1.5124935222,0.0583028046,13.41,2.042,2.5960888543,0.7141269491
88,1.5131615731,0.0576347537,13.61,2.092,2.6104876556,0.7381782955
89,1.5138219693,0.0569743575,13.8,2.143,2.6248522267,0.7621798285
90,1.5144747984,0.0563215284,14,2.195,2.6391829905,0.7861318134
91,1.5151201473,0.0556761795,14.2,2.248,2.6534803642,0.8100345098
92,1.5157581015,0.0550382253,14.41,2.302,2.6677447596,0.8338881715
93,1.5163887459,0.0544075809,14.61,2.358,2.681976583,0.8576930466
94,1.5170121642,0.0537841626,14.82,2.414,2.6961762355,0.8814493777
95,1.5176284391,0.0531678877,15.03,2.472,2.7103441127,0.9051574022
96,1.5182376526,0.0525586742,15.25,2.532,2.7244806053,0.9288173516
97,1.5188398855,0.0519564413,15.47,2.592,2.7385860987,0.9524294525
98,1.5194352179,0.0513611089,15.68,2.654,2.7526609733,0.9759939262
99,1.5200237288,0.050772598,15.91,2.717,2.7667056046,0.9995109888
100,1.5206054963,0.0501908305,16.13,2.781,2.7807203631,1.0229808514
101,1.5211805978,0.049615729,16.36,2.847,2.7947056145,1.0464037202
102,1.5217491096,0.0490472172,16.59,2.915,2.8086617199,1.0697797963
103,1.5223111072,0.0484852196,16.82,2.984,2.8225890356,1.0931092761
104,1.5228666653,0.0479296615,17.06,3.054,2.8364879132,1.1163923514
105,1.5234158577,0.0473804691,17.29,3.126,2.8503586999,1.1396292092
106,1.5239587572,0.0468375696,17.54,3.199,2.8642017382,1.1628200318
107,1.524495436,0.0463008908,17.78,3.274,2.8780173666,1.1859649972
108,1.5250259654,0.0457703614,18.03,3.35,2.8918059188,1.2090642789
109,1.5255504158,0.045245911,18.28,3.428,2.9055677244,1.232118046
110,1.526068857,0.0447274698,18.53,3.508,2.9193031087,1.2551264633
111,1.5265813576,0.0442149692,18.78,3.59,2.9330123929,1.2780896915
112,1.5270879859,0.0437083409,19.04,3.673,2.946695894,1.3010078869
113,1.5275888091,0.0432075177,19.3,3.758,2.9603539251,1.3238812021
114,1.5280838937,0.0427124331,19.57,3.845,2.973986795,1.3467097853
115,1.5285733055,0.0422230213,19.84,3.933,2.9875948089,1.3694937811
116,1.5290571094,0.0417392174,20.11,4.024,3.0011782678,1.39223333
117,1.5295353698,0.041260957,20.38,4.116,3.0147374691,1.4149285688
118,1.5300081502,0.0407881766,20.66,4.21,3.0282727063,1.4375796306
119,1.5304755132,0.0403208136,20.94,4.307,3.0417842691,1.4601866447
120,1.5309375211,0.0398588057,21.23,4.405,3.0552724437,1.4827497371
121,1.5313942352,0.0394020916,21.51,4.505,3.0687375126,1.50526903
122,1.5318457161,0.0389506107,21.81,4.608,3.0821797545,1.5277446422
123,1.5322920238,0.038504303,22.1,4.712,3.095599445,1.5501766891
124,1.5327332176,0.0380631092,22.4,4.819,3.1089968558,1.5725652829
125,1.533169356,0.0376269708,22.7,4.928,3.1223722554,1.5949105324
126,1.533600497,0.0371958298,23.01,5.039,3.1357259089,1.6172125431
127,1.5340266979,0.0367696289,23.31,5.152,3.149058078,1.6394714177
128,1.5344480153,0.0363483115,23.63,5.268,3.1623690211,1.6616872556
129,1.5348645051,0.0359318217,23.94,5.386,3.1756589934,1.6838601531
130,1.5352762226,0.0355201042,24.26,5.507,3.1889282468,1.7059902038
131,1.5356832225,0.0351131043,24.59,5.63,3.2021770303,1.7280774982
132,1.5360855589,0.0347107679,24.91,5.755,3.2154055893,1.7501221242
133,1.5364832852,0.0343130416,25.24,5.883,3.2286141666,1.7721241666
134,1.5368764543,0.0339198725,25.58,6.014,3.2418030018,1.7940837078
135,1.5372651183,0.0335312085,25.92,6.147,3.2549723313,1.8160008275
136,1.5376493289,0.0331469979,26.26,6.283,3.2681223889,1.8378756028
137,1.538029137,0.0327671898,26.61,6.422,3.2812534052,1.8597081082
138,1.5384045932,0.0323917336,26.96,6.563,3.2943656081,1.8814984159
139,1.5387757474,0.0320205794,27.32,6.708,3.3074592225,1.9032465955
140,1.5391426487,0.0316536781,27.68,6.855,3.3205344707,1.9249527144
141,1.539505346,0.0312909808,28.04,7.005,3.333591572,1.9466168378
142,1.5398638874,0.0309324394,28.41,7.158,3.3466307433,1.9682390284
143,1.5402183205,0.0305780063,28.78,7.314,3.3596521984,1.989819347
144,1.5405686924,0.0302276344,29.16,7.473,3.3726561488,2.0113578522
145,1.5409150496,0.0298812772,29.54,7.636,3.3856428032,2.0328546004
146,1.5412574382,0.0295388886,29.92,7.801,3.3986123678,2.0543096464
147,1.5415959036,0.0292004232,30.31,7.97,3.4115650461,2.0757230425
148,1.5419304907,0.0288658361,30.71,8.142,3.4245010394,2.0970948397
149,1.542261244,0.0285350827,31.11,8.318,3.4374205461,2.1184250868
150,1.5425882075,0.0282081193,31.51,8.497,3.4503237625,2.1397138309
151,1.5429114246,0.0278849022,31.92,8.679,3.4632108823,2.1609611175
152,1.5432309381,0.0275653887,32.33,8.865,3.4760820968,2.1821669904
153,1.5435467905,0.0272495363,32.75,9.055,3.4889375951,2.2033314916
154,1.5438590238,0.026937303,33.17,9.248,3.5017775639,2.2244546618
155,1.5441676794,0.0266286474,33.6,9.445,3.5146021875,2.2455365402
156,1.5444727984,0.0263235284,34.04,9.646,3.5274116481,2.2665771644
157,1.5447744212,0.0260219056,34.47,9.851,3.5402061255,2.2875765707
158,1.545072588,0.0257237388,34.92,10.06,3.5529857975,2.3085347942
159,1.5453673382,0.0254289885,35.37,10.27,3.5657508395,2.3294518683
160,1.5456587112,0.0251376156,35.82,10.49,3.578501425,2.3503278257
161,1.5459467455,0.0248495813,36.28,10.71,3.591237725,2.3711626976
162,1.5462314794,0.0245648474,36.74,10.93,3.6039599089,2.3919565141
163,1.5465129507,0.0242833761,37.21,11.16,3.6166681437,2.4127093044
164,1.5467911969,0.0240051299,37.69,11.4,3.6293625944,2.4334210965
165,1.5470662548,0.023730072,38.17,11.64,3.6420434241,2.4540919175
166,1.547338161,0.0234581658,38.66,11.88,3.6547107938,2.4747217935
167,1.5476069517,0.0231893751,39.15,12.13,3.6673648625,2.4953107499
168,1.5478726624,0.0229236644,39.65,12.38,3.6800057875,2.5158588112
169,1.5481353286,0.0226609982,40.15,12.63,3.692633724,2.536366001
170,1.5483949851,0.0224013417,40.66,12.89,3.7052488253,2.5568323425
171,1.5486516663,0.0221446605,41.18,13.16,3.7178512429,2.5772578578
172,1.5489054064,0.0218909204,41.7,13.43,3.7304411265,2.5976425687
173,1.5491562391,0.0216400877,42.23,13.71,3.7430186238,2.6179864964
174,1.5494041977,0.0213921291,42.76,13.99,3.755583881,2.6382896614
175,1.5496493151,0.0211470117,43.3,14.28,3.7681370423,2.6585520838
176,1.5498916238,0.020904703,43.85,14.57,3.7806782502,2.6787737834
