index,x-value,pointwise error (4 s.f.),MAE (yes/no)
212,2.0959555922,38.95,no
213,2.0969555922,39.07,no
214,2.0979555922,39.19,no
215,2.0989555922,39.31,no
216,2.0999555922,39.43,no
217,2.1009555922,39.55,no
218,2.1019555922,39.67,no
219,2.1029555922,39.79,no
220,2.1039555922,39.92,no
221,2.1049555922,40.04,no
222,2.1059555922,40.16,no
223,2.1069555922,40.29,no
224,2.1079555922,40.41,no
225,2.1089555922,40.54,no
226,2.1099555922,40.66,no
227,2.1109555922,40.79,no
228,2.1119555922,40.91,no
229,2.1129555922,41.04,no
230,2.1139555922,41.17,no
231,2.1149555922,41.29,no
232,2.1159555922,41.42,no
233,2.1169555922,41.55,no
234,2.1179555922,41.68,no
235,2.1189555922,41.81,no
236,2.1199555922,41.94,no
237,2.1209555922,42.07,no
238,2.1219555922,42.2,no
239,2.1229555922,42.33,no
240,2.1239555922,42.46,no
241,2.1249555922,42.59,no
242,2.1259555922,42.73,no
243,2.1269555922,42.86,no
244,2.1279555922,42.99,no
245,2.1289555922,43.13,no
246,2.1299555922,43.26,no
247,2.1309555922,43.39,no
248,2.1319555922,43.53,no
249,2.1329555922,43.66,no
250,2.1339555922,43.8,no
251,2.1349555922,43.94,no
252,2.1359555922,44.07,no
253,2.1369555922,44.21,no
254,2.1379555922,44.35,no
255,2.1389555922,44.49,no
256,2.1399555922,44.63,no
257,2.1409555922,44.77,no
258,2.1419555922,44.9,no
259,2.1429555922,45.04,no
260,2.1439555922,45.19,no
261,2.1449555922,45.33,no
262,2.1459555922,45.47,no
263,2.1469555922,45.61,no
264,2.1479555922,45.75,no
265,2.1489555922,45.9,no
266,2.1499555922,46.04,no
267,2.1509555922,46.18,no
268,2.1519555922,46.33,no
269,2.1529555922,46.47,no
270,2.1539555922,46.62,no
271,2.1549555922,46.76,no
272,2.1559555922,46.91,no
273,2.1569555922,47.06,no
274,2.1579555922,47.2,no
275,2.1589555922,47.35,no
276,2.1599555922,47.5,no
277,2.1609555922,47.65,no
278,2.1619555922,47.8,no
279,2.1629555922,47.95,no
280,2.1639555922,48.1,no
281,2.1649555922,48.25,no
282,2.1659555922,48.4,no
283,2.1669555922,48.55,no
284,2.1679555922,48.7,no
285,2.1689555922,48.86,no
286,2.1699555922,49.01,no
287,2.1709555922,49.16,no
288,2.1719555922,49.32,no
289,2.1729555922,49.47,no
290,2.1739555922,49.63,no
291,2.1749555922,49.78,no
292,2.1759555922,49.94,no
293,2.1769555922,50.1,no
294,2.1779555922,50.26,no
295,2.1789555922,50.41,no
296,2.1799555922,50.57,no
297,2.1809555922,50.73,no
298,2.1819555922,50.89,no
299,2.1829555922,51.05,no
300,2.1839555922,51.21,no
301,2.1849555922,51.37,no
302,2.1859555922,51.53,no
303,2.1869555922,51.7,no
304,2.1879555922,51.86,no
305,2.1889555922,52.02,no
306,2.1899555922,52.18,no
307,2.1909555922,52.35,no
308,2.1919555922,52.51,no
309,2.1929555922,52.68,no
310,2.1939555922,52.84,no
311,2.1949555922,53.01,no
312,2.1959555922,53.18,no
313,2.1969555922,53.35,no
314,2.1979555922,53.51,no
315,2.1989555922,53.68,no
316,2.1999555922,53.85,no
317,2.2009555922,54.02,no
318,2.2019555922,54.19,no
319,2.2029555922,54.36,no
320,2.2039555922,54.53,no
321,2.2049555922,54.7,no
322,2.2059555922,54.88,no
323,2.2069555922,55.05,no
324,2.2079555922,55.22,no
325,2.2089555922,55.4,no
326,2.2099555922,55.57,no
327,2.2109555922,55.75,no
328,2.2119555922,55.92,no
329,2.2129555922,56.1,no
330,2.2139555922,56.28,no
331,2.2149555922,56.45,no
332,2.2159555922,56.63,no
333,2.2169555922,56.81,no
334,2.2179555922,56.99,no
335,2.2189555922,57.17,no
336,2.2199555922,57.35,no
337,2.2209555922,57.53,no
338,2.2219555922,57.71,no
339,2.2229555922,57.9,no
340,2.2239555922,58.08,no
341,2.2249555922,58.26,no
342,2.2259555922,58.45,no
343,2.2269555922,58.63,no
344,2.2279555922,58.82,no
345,2.2289555922,59,no
346,2.2299555922,59.19,no
347,2.2309555922,59.37,no
348,2.2319555922,59.56,no
349,2.2329555922,59.75,no
350,2.2339555922,59.94,no
351,2.2349555922,60.13,no
352,2.2359555922,60.32,no
353,2.2369555922,60.51,no
354,2.2379555922,60.7,no
355,2.2389555922,60.89,no
356,2.2399555922,61.08,no
357,2.2409555922,61.28,no
358,2.2419555922,61.47,no
359,2.2429555922,61.66,no
360,2.2439555922,61.86,no
361,2.2449555922,62.05,no
362,2.2459555922,62.25,no
363,2.2469555922,62.45,no
364,2.2479555922,62.64,no
365,2.2489555922,62.84,no
366,2.2499555922,63.04,no
367,2.2509555922,63.24,no
368,2.2519555922,63.44,no
369,2.2529555922,63.64,no
370,2.2539555922,63.84,no
371,2.2549555922,64.04,no
372,2.2559555922,64.25,no
373,2.2569555922,64.45,no
374,2.2579555922,64.65,no
375,2.2589555922,64.86,no
376,2.2599555922,65.06,no
377,2.2609555922,65.27,no
378,2.2619555922,65.47,no
379,2.2629555922,65.68,no
380,2.2639555922,65.89,no
381,2.2649555922,66.1,no
382,2.2659555922,66.31,no
383,2.2669555922,66.51,no
384,2.2679555922,66.72,no
385,2.2689555922,66.94,no
386,2.2699555922,67.15,no
387,2.2709555922,67.36,no
388,2.2719555922,67.57,no
389,2.2729555922,67.79,no
390,2.2739555922,68,no
391,2.2749555922,68.22,no
392,2.2759555922,68.43,no
393,2.2769555922,68.65,no
394,2.2779555922,68.86,no
395,2.2789555922,69.08,no
396,2.2799555922,69.3,no
397,2.2809555922,69.52,no
398,2.2819555922,69.74,no
399,2.2829555922,69.96,no
400,2.2839555922,70.18,no
401,2.2849555922,70.4,no
402,2.2859555922,70.62,no
403,2.2869555922,70.85,no
404,2.2879555922,71.07,no
405,2.2889555922,71.3,no
406,2.2899555922,71.52,no
407,2.2909555922,71.75,no
408,2.2919555922,71.97,no
409,2.2929555922,72.2,no
410,2.2939555922,72.43,no
411,2.2949555922,72.66,no
412,2.2959555922,72.89,no
413,2.2969555922,73.12,no
414,2.2979555922,73.35,no
415,2.2989555922,73.58,no
416,2.2999555922,73.81,no
417,2.3009555922,74.04,no
418,2.3019555922,74.28,no
419,2.3029555922,74.51,no
420,2.3039555922,74.75,no
421,2.3049555922,74.98,no
422,2.3059555922,75.22,no
423,2.3069555922,75.46,no
424,2.3079555922,75.7,no
425,2.3089555922,75.94,no
426,2.3099555922,76.18,no
427,2.3109555922,76.42,no
428,2.3119555922,76.66,no
429,2.3129555922,76.9,no
430,2.3139555922,77.14,no
431,2.3149555922,77.39,no
432,2.3159555922,77.63,no
433,2.3169555922,77.87,no
434,2.3179555922,78.12,no
435,2.3189555922,78.37,no
436,2.3199555922,78.61,no
437,2.3209555922,78.86,no
438,2.3219555922,79.11,no
439,2.3229555922,79.36,no
440,2.3239555922,79.61,no
441,2.3249555922,79.86,no
442,2.3259555922,80.11,no
